Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Cleveland Cavaliers,Charlotte Hornets,1.0,0.43,0.419,0.667,43.4,27.4,7.5,8.5,4.7,0.9,116.0,114.0,0.517,0.0,0.505,0.368,0.722,34.6,36.5,10.6,5.8,4.8,-10.6,116.3,125.7,0.599,0,10/22/2021
Orlando Magic,New York Knicks,1.0,0.486,0.378,0.704,44.0,21.6,15.2,7.2,8.0,3.2,110.4,108.1,0.59,0.0,0.407,0.31,0.783,46.3,17.9,16.8,6.3,6.3,-27.4,102.1,128.1,0.505,0,10/22/2021
Washington Wizards,Indiana Pacers,0.0,0.467,0.362,0.875,47.7,27.1,15.9,1.9,9.3,-0.9,114.0,116.0,0.607,1.0,0.444,0.185,0.808,48.1,18.9,20.8,13.2,7.5,14.2,92.5,77.6,0.53,1,10/22/2021
Boston Celtics,Toronto Raptors,0.0,0.309,0.206,0.727,50.5,13.1,17.8,9.3,3.7,-14.0,77.6,92.5,0.389,0.0,0.41,0.368,0.739,45.2,27.4,14.5,10.5,7.3,-3.2,108.1,110.4,0.527,0,10/22/2021
Philadelphia 76ers,Brooklyn Nets,0.0,0.44,0.531,0.565,43.1,18.6,12.7,2.9,8.8,-22.5,102.0,124.5,0.552,1.0,0.518,0.52,0.8,47.5,24.2,13.1,9.1,5.1,20.2,118.2,98.0,0.624,0,10/22/2021
Chicago Bulls,New Orleans Pelicans,0.0,0.419,0.433,0.667,44.4,28.3,14.1,5.1,6.1,-20.2,98.0,118.2,0.5,1.0,0.43,0.304,0.867,49.0,18.4,17.3,8.2,5.1,6.1,95.9,89.8,0.508,1,10/22/2021
Houston Rockets,Oklahoma City Thunder,0.0,0.374,0.2,0.611,52.6,20.0,15.8,4.2,2.1,-22.1,90.5,111.5,0.435,0.0,0.455,0.333,0.682,38.0,19.4,22.2,12.0,2.8,-16.7,98.1,114.8,0.543,1,10/22/2021
Denver Nuggets,San Antonio Spurs,1.0,0.5,0.433,0.667,44.8,33.3,8.3,8.3,3.1,27.1,128.1,102.1,0.581,1.0,0.53,0.436,0.556,45.5,24.8,18.8,8.9,1.0,11.9,108.9,97.0,0.632,1,10/22/2021
Los Angeles Lakers,Phoenix Suns,0.0,0.414,0.378,0.706,44.6,22.8,17.8,8.9,3.0,-11.9,97.0,108.9,0.519,0.0,0.474,0.357,0.474,40.2,18.8,16.1,6.3,3.6,-6.3,101.8,107.1,0.551,0,10/22/2021
Sacramento Kings,Utah Jazz,1.0,0.44,0.298,0.867,55.2,18.8,10.4,6.3,5.2,21.9,111.5,90.5,0.548,1.0,0.457,0.415,0.793,40.6,22.6,9.4,5.7,3.8,2.8,117.0,114.2,0.592,0,10/22/2021
Cleveland Cavaliers,Atlanta Hawks,1.0,0.479,0.429,0.889,52.9,29.8,12.5,7.7,8.7,25.0,108.7,83.7,0.577,0.0,0.508,0.333,0.789,34.3,30.5,14.3,7.1,3.8,-10.5,111.0,120.9,0.601,1,10/23/2021
Indiana Pacers,Miami Heat,1.0,0.531,0.429,0.645,54.2,26.2,10.3,7.5,1.9,39.3,128.0,90.5,0.625,0.0,0.503,0.395,0.818,43.9,26.9,13.7,3.3,7.5,-0.9,120.8,122.3,0.62,1,10/23/2021
Toronto Raptors,Dallas Mavericks,0.0,0.333,0.302,0.923,48.1,15.4,14.4,6.7,2.9,-25.0,83.7,108.7,0.441,0.5,0.365,0.246,0.86,54.8,17.3,14.9,12.5,2.9,8.2,95.2,87.4,0.459,0,10/23/2021
Chicago Bulls,Detroit Pistons,0.0,0.4,0.214,0.769,48.0,17.3,17.3,7.1,5.1,-6.1,89.8,95.9,0.46,1.0,0.48,0.412,0.825,46.8,24.9,15.4,8.5,6.0,10.9,110.4,99.5,0.576,1,10/23/2021
Minnesota Timberwolves,New Orleans Pelicans,0.0,0.45,0.475,0.76,42.6,26.7,15.3,5.9,5.4,-17.8,103.5,121.3,0.547,1.0,0.483,0.421,0.774,42.6,24.1,16.7,16.7,11.1,16.7,114.8,98.1,0.616,1,10/23/2021
San Antonio Spurs,Milwaukee Bucks,0.5,0.423,0.333,0.702,44.4,21.3,11.1,6.8,4.3,-9.2,107.2,115.3,0.529,0.5,0.489,0.352,0.688,41.4,28.3,14.1,9.6,2.5,10.1,110.6,100.5,0.558,0,10/23/2021
Portland Trail Blazers,Phoenix Suns,0.5,0.451,0.348,0.733,45.3,26.6,14.8,8.4,2.5,-1.0,104.9,107.0,0.552,0.0,0.484,0.343,0.864,46.2,23.6,12.3,4.7,4.7,-2.8,114.2,117.0,0.589,1,10/23/2021
LA Clippers,Memphis Grizzlies,1.0,0.53,0.424,1.0,50.5,26.7,11.4,7.6,7.6,10.5,125.7,116.3,0.627,0.0,0.438,0.35,0.714,37.5,23.1,6.7,8.7,1.9,-1.9,108.7,112.7,0.537,0,10/23/2021
Brooklyn Nets,Charlotte Hornets,1.0,0.475,0.413,0.727,43.4,28.8,12.3,10.4,2.8,5.7,116.0,109.9,0.566,0.5,0.453,0.414,0.702,45.7,22.6,13.1,4.5,7.5,-9.0,109.5,118.6,0.566,0,10/24/2021
Oklahoma City Thunder,Philadelphia 76ers,0.5,0.494,0.443,0.806,41.8,20.9,11.7,8.7,7.1,7.7,115.3,107.7,0.596,0.0,0.374,0.269,0.588,44.9,20.7,17.2,6.6,3.0,-27.3,89.4,114.9,0.449,0,10/24/2021
Houston Rockets,Boston Celtics,0.0,0.402,0.352,0.735,43.6,23.6,19.1,8.4,9.3,-16.0,96.4,111.9,0.507,0.5,0.481,0.394,0.722,44.6,23.5,19.2,11.7,6.1,7.0,108.0,101.9,0.578,0,10/24/2021
