Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
New York Knicks,Orlando Magic,0.0,0.402,0.361,0.816,46.9,21.4,18.2,5.7,4.7,-26.6,100.5,125.8,0.52,1.0,0.492,0.414,0.636,41.7,27.4,13.5,8.5,6.3,13.0,116.1,104.1,0.61,0,10/24/2021
Sacramento Kings,Golden State Warriors,1.0,0.477,0.414,0.75,47.9,26.5,17.7,6.5,2.8,4.2,109.8,105.1,0.593,0.5,0.424,0.325,0.76,45.5,21.1,12.0,10.0,4.3,-2.9,107.7,110.5,0.528,0,10/24/2021
Los Angeles Lakers,Memphis Grizzlies,1.0,0.5,0.42,0.892,49.5,26.5,11.3,6.4,5.4,8.3,123.5,116.3,0.611,0.0,0.436,0.395,0.646,42.9,21.7,16.0,6.6,3.3,-8.0,103.3,109.8,0.542,1,10/24/2021
Charlotte Hornets,Boston Celtics,0.333,0.414,0.341,0.759,43.3,23.0,16.9,8.9,8.3,-8.0,99.4,107.7,0.525,1.0,0.469,0.387,0.746,44.7,27.8,12.1,10.2,3.5,8.9,114.1,104.4,0.558,0,10/25/2021
Brooklyn Nets,Washington Wizards,1.0,0.486,0.369,0.867,42.2,20.9,14.7,9.0,6.6,7.6,110.4,102.4,0.598,0.333,0.448,0.362,0.729,44.9,20.9,14.3,6.3,7.6,-11.3,104.0,115.7,0.549,1,10/25/2021
Toronto Raptors,Chicago Bulls,1.0,0.459,0.416,0.831,44.9,24.4,14.5,9.9,7.6,12.2,105.3,93.7,0.56,0.333,0.376,0.264,0.803,54.2,17.6,14.3,11.0,4.0,3.0,97.3,94.7,0.471,0,10/25/2021
Miami Heat,Orlando Magic,0.333,0.405,0.33,0.792,49.8,21.4,16.3,6.1,4.4,-15.3,102.7,117.2,0.525,0.5,0.46,0.353,0.711,52.6,21.4,15.3,5.6,1.9,14.4,106.0,93.4,0.551,1,10/25/2021
Indiana Pacers,Milwaukee Bucks,0.667,0.456,0.361,0.739,43.9,21.0,14.5,6.5,4.5,-2.9,110.6,112.8,0.567,0.333,0.465,0.35,0.8,46.5,23.6,14.2,5.3,6.6,2.8,112.6,109.4,0.573,0,10/25/2021
LA Clippers,Portland Trail Blazers,0.5,0.513,0.388,0.769,46.6,23.6,10.6,6.3,4.8,12.5,122.6,110.1,0.625,0.0,0.436,0.342,0.789,41.1,23.3,6.9,7.9,3.0,-4.0,112.4,116.9,0.536,1,10/25/2021
Minnesota Timberwolves,New Orleans Pelicans,0.0,0.416,0.374,0.771,47.9,22.5,19.9,7.2,5.2,-14.0,97.1,110.7,0.514,1.0,0.443,0.368,0.732,43.5,22.4,17.8,14.5,9.3,11.7,102.8,91.5,0.547,0,10/25/2021
Denver Nuggets,Cleveland Cavaliers,0.333,0.477,0.309,0.769,41.0,28.3,13.0,6.8,4.6,-5.2,108.8,113.6,0.567,1.0,0.521,0.377,0.588,42.6,25.0,19.6,9.3,1.5,8.8,103.9,95.6,0.601,0,10/25/2021
Atlanta Hawks,Detroit Pistons,0.0,0.393,0.196,0.679,50.5,15.7,20.2,8.1,6.6,-10.6,85.9,95.5,0.447,0.5,0.43,0.362,0.708,54.2,25.4,10.9,6.5,6.0,10.0,103.5,93.5,0.511,1,10/25/2021
New York Knicks,Philadelphia 76ers,0.667,0.485,0.431,0.804,44.0,22.5,11.9,7.2,7.8,9.2,116.4,107.2,0.595,0.667,0.451,0.367,0.652,44.5,24.8,12.9,8.3,6.7,7.1,111.3,104.9,0.561,1,10/26/2021
Dallas Mavericks,Houston Rockets,0.333,0.465,0.408,0.75,43.3,22.4,19.6,10.3,5.4,1.6,104.8,103.2,0.575,0.5,0.375,0.318,0.806,50.8,20.3,12.2,6.6,4.6,-9.1,96.4,105.6,0.481,1,10/26/2021
San Antonio Spurs,Los Angeles Lakers,0.333,0.468,0.434,0.657,40.4,23.9,16.2,7.6,6.1,-4.5,108.3,112.0,0.575,0.333,0.488,0.312,0.711,39.9,28.2,13.6,9.6,3.0,3.3,109.6,106.3,0.554,0,10/26/2021
Utah Jazz,Denver Nuggets,0.667,0.482,0.327,0.621,44.4,23.8,20.5,9.6,2.0,2.0,99.0,97.7,0.558,1.0,0.425,0.337,0.868,52.3,17.1,14.6,10.1,4.0,15.1,109.0,94.4,0.549,1,10/26/2021
Oklahoma City Thunder,Golden State Warriors,1.0,0.465,0.393,0.776,46.3,26.3,14.3,8.3,2.9,6.7,112.7,105.4,0.579,0.0,0.406,0.266,0.66,44.4,22.0,15.3,7.5,3.4,-22.4,94.9,116.1,0.484,0,10/26/2021
Orlando Magic,Charlotte Hornets,0.75,0.463,0.401,0.714,45.1,26.5,12.2,8.5,4.0,4.0,114.1,109.1,0.559,0.25,0.405,0.314,0.758,47.2,21.3,16.8,6.3,4.8,-15.7,99.7,115.5,0.52,0,10/27/2021
Brooklyn Nets,Miami Heat,0.667,0.464,0.316,0.797,49.7,23.7,14.1,7.1,1.9,15.4,107.4,92.6,0.554,0.5,0.442,0.343,0.75,46.8,21.3,12.9,6.2,6.7,-5.0,103.2,108.2,0.54,0,10/27/2021
New Orleans Pelicans,Atlanta Hawks,0.667,0.456,0.366,0.778,51.8,24.6,12.5,7.9,4.9,12.5,108.2,96.1,0.545,0.25,0.424,0.364,0.789,50.7,21.6,19.9,6.6,5.1,-8.3,99.3,107.1,0.523,0,10/27/2021
Toronto Raptors,Indiana Pacers,0.25,0.46,0.359,0.817,45.9,23.1,15.1,5.4,5.2,-0.2,109.9,110.4,0.569,0.25,0.4,0.294,0.802,52.5,20.0,16.0,10.3,3.3,1.5,100.3,99.5,0.498,1,10/27/2021
Milwaukee Bucks,Minnesota Timberwolves,0.667,0.41,0.341,0.75,42.4,21.5,15.5,13.0,8.5,5.1,100.6,96.2,0.525,0.75,0.462,0.357,0.77,42.9,21.4,14.2,8.0,4.8,0.2,111.3,110.0,0.576,0,10/27/2021
Oklahoma City Thunder,Los Angeles Lakers,0.5,0.47,0.397,0.685,42.3,21.9,14.8,7.4,6.7,-2.3,107.4,110.0,0.566,0.0,0.409,0.287,0.7,44.0,21.4,15.0,7.4,3.3,-18.8,96.2,113.9,0.494,1,10/27/2021
Phoenix Suns,Sacramento Kings,0.333,0.444,0.325,0.73,45.8,22.6,14.2,6.8,4.2,-5.8,107.1,113.3,0.545,0.333,0.462,0.34,0.717,42.6,26.6,14.4,7.5,2.0,-10.2,104.3,115.2,0.551,0,10/27/2021
Boston Celtics,Washington Wizards,0.667,0.437,0.317,0.831,45.1,19.0,13.7,7.6,6.0,0.6,102.5,101.9,0.541,0.5,0.435,0.351,0.785,44.0,24.5,15.2,8.4,8.2,-3.4,105.2,109.4,0.551,0,10/27/2021
Portland Trail Blazers,Memphis Grizzlies,0.667,0.483,0.404,0.873,49.2,25.9,13.1,8.5,4.9,4.6,121.3,117.1,0.589,0.333,0.471,0.336,0.772,44.7,19.9,16.1,7.5,4.3,-1.2,105.9,106.8,0.574,1,10/27/2021
LA Clippers,Cleveland Cavaliers,0.5,0.474,0.303,0.776,43.3,28.0,13.9,7.2,4.7,-1.0,107.2,107.6,0.562,0.333,0.448,0.336,0.772,39.7,26.5,9.8,11.7,3.8,6.9,108.2,101.9,0.548,0,10/27/2021
Washington Wizards,Atlanta Hawks,0.75,0.446,0.344,0.79,53.3,24.0,12.3,7.0,4.8,10.3,108.0,98.0,0.532,0.75,0.455,0.326,0.798,45.5,18.8,14.2,7.7,6.3,2.7,105.8,103.4,0.555,1,10/28/2021
Philadelphia 76ers,Detroit Pistons,0.0,0.409,0.225,0.739,45.2,18.9,17.9,7.6,6.3,-13.0,91.0,103.0,0.474,0.5,0.474,0.392,0.824,43.8,23.3,13.0,7.8,7.0,3.6,114.0,110.1,0.585,1,10/28/2021
Houston Rockets,Utah Jazz,1.0,0.455,0.328,0.821,48.3,18.0,14.3,8.3,4.7,14.0,113.0,99.0,0.574,0.25,0.453,0.408,0.733,44.1,22.5,18.7,9.4,4.8,-1.2,103.8,105.0,0.567,0,10/28/2021
Chicago Bulls,New York Knicks,0.75,0.455,0.38,0.702,45.2,25.0,13.6,8.1,6.4,8.6,113.1,105.3,0.57,1.0,0.465,0.423,0.864,41.3,24.5,14.3,10.3,6.5,10.0,107.5,97.5,0.572,0,10/28/2021
Dallas Mavericks,San Antonio Spurs,0.25,0.476,0.326,0.65,42.9,28.3,13.7,9.4,3.6,1.4,108.2,106.0,0.543,0.667,0.404,0.305,0.768,49.7,21.5,12.9,7.3,5.3,-2.6,101.3,104.0,0.507,1,10/28/2021
Golden State Warriors,Memphis Grizzlies,0.5,0.453,0.383,0.77,49.4,26.2,15.3,8.6,4.4,-1.5,115.1,117.1,0.557,1.0,0.466,0.381,0.777,46.4,27.3,14.5,8.5,4.1,7.0,111.4,104.1,0.58,0,10/28/2021
Toronto Raptors,Orlando Magic,0.2,0.423,0.327,0.76,44.2,21.4,17.1,6.3,4.2,-14.3,101.6,115.9,0.534,0.4,0.413,0.325,0.771,50.5,20.5,15.3,11.9,3.8,4.8,104.4,100.2,0.508,1,10/29/2021
Miami Heat,Charlotte Hornets,0.8,0.473,0.413,0.739,43.9,25.6,13.1,9.5,4.0,4.9,114.8,109.0,0.573,0.75,0.446,0.306,0.811,52.4,22.9,14.3,6.8,1.9,14.7,106.5,92.0,0.538,1,10/29/2021
Brooklyn Nets,Indiana Pacers,0.2,0.464,0.357,0.818,45.0,22.4,16.7,5.6,5.6,-3.6,108.6,112.5,0.571,0.4,0.432,0.339,0.778,45.6,21.1,13.4,6.3,6.7,-6.5,100.6,107.3,0.534,1,10/29/2021
New Orleans Pelicans,Sacramento Kings,0.5,0.444,0.342,0.731,44.4,23.9,13.7,6.8,4.6,-3.7,107.8,111.2,0.544,0.2,0.425,0.352,0.8,49.9,22.3,18.1,6.4,5.4,-7.4,100.2,107.1,0.52,0,10/29/2021
Portland Trail Blazers,LA Clippers,0.25,0.427,0.307,0.743,39.2,24.9,10.9,12.1,3.4,2.2,102.2,100.5,0.52,0.5,0.469,0.354,0.761,45.6,20.4,15.7,8.3,4.8,3.8,108.6,104.3,0.579,1,10/29/2021
Denver Nuggets,Dallas Mavericks,0.75,0.418,0.329,0.681,49.0,20.9,13.1,6.5,5.8,-0.8,103.0,103.8,0.517,0.5,0.488,0.333,0.642,41.8,22.5,18.6,9.4,2.2,-1.5,101.2,103.5,0.566,1,10/29/2021
Los Angeles Lakers,Cleveland Cavaliers,0.6,0.462,0.282,0.795,46.4,25.0,15.4,7.6,4.4,1.8,105.0,102.8,0.549,0.4,0.476,0.38,0.708,41.5,23.1,15.1,7.4,5.8,-3.4,108.0,111.4,0.57,1,10/29/2021
