Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Cleveland Cavaliers,Portland Trail Blazers,0.429,0.458,0.362,0.737,48.7,22.2,15.0,7.3,4.6,1.8,110.0,108.3,0.565,0.5,0.445,0.302,0.76,45.8,24.5,16.0,8.6,4.2,-1.1,104.5,105.1,0.536,1,11/03/2021
Philadelphia 76ers,Chicago Bulls,0.857,0.469,0.388,0.868,42.5,24.2,13.0,8.9,6.3,8.7,109.9,101.1,0.575,0.714,0.492,0.381,0.866,42.2,25.1,13.9,8.7,7.1,8.8,115.8,106.8,0.607,1,11/03/2021
Brooklyn Nets,Atlanta Hawks,0.571,0.451,0.346,0.815,50.6,24.4,13.2,6.8,4.0,1.3,108.5,107.3,0.54,0.571,0.461,0.346,0.755,45.6,22.2,15.0,6.8,5.9,0.0,103.7,104.1,0.562,1,11/03/2021
Memphis Grizzlies,Denver Nuggets,0.571,0.474,0.301,0.67,44.0,24.3,17.9,9.3,4.3,2.6,100.7,98.8,0.551,0.571,0.437,0.35,0.819,47.4,24.8,15.0,10.4,5.3,-2.8,109.3,112.7,0.542,1,11/03/2021
Minnesota Timberwolves,LA Clippers,0.333,0.413,0.324,0.714,41.9,22.6,11.8,10.6,3.9,-0.8,100.3,101.0,0.511,0.5,0.411,0.316,0.743,45.2,22.7,16.4,10.1,6.2,0.2,101.3,101.1,0.516,0,11/03/2021
San Antonio Spurs,Dallas Mavericks,0.571,0.409,0.315,0.701,46.0,20.0,12.6,6.2,4.8,-6.2,101.6,107.5,0.513,0.286,0.469,0.344,0.664,43.3,27.9,13.8,8.8,4.6,-0.4,106.9,106.9,0.542,0,11/03/2021
Golden State Warriors,Charlotte Hornets,0.625,0.46,0.411,0.723,43.6,26.6,12.9,9.0,5.5,2.4,114.1,111.1,0.563,0.833,0.454,0.378,0.754,47.4,27.6,15.9,8.3,5.1,7.5,106.6,98.7,0.565,1,11/03/2021
Indiana Pacers,New York Knicks,0.714,0.465,0.408,0.732,44.6,23.0,13.9,6.9,5.9,4.8,113.5,109.0,0.585,0.25,0.465,0.356,0.78,43.8,24.2,16.7,6.9,6.1,-1.9,108.4,110.2,0.568,1,11/03/2021
Detroit Pistons,Philadelphia 76ers,0.75,0.493,0.386,0.845,41.4,25.0,13.9,8.8,6.7,8.4,114.6,106.1,0.606,0.143,0.394,0.267,0.729,42.2,21.2,16.3,9.1,5.3,-13.5,95.8,108.9,0.487,0,11/04/2021
Miami Heat,Boston Celtics,0.375,0.43,0.329,0.78,43.5,22.5,13.1,8.3,7.1,-3.3,103.7,107.4,0.535,0.857,0.47,0.367,0.848,52.5,24.6,14.4,7.3,2.5,16.5,114.3,97.9,0.577,0,11/04/2021
Atlanta Hawks,Utah Jazz,0.857,0.446,0.32,0.829,51.2,17.4,16.1,7.3,5.8,11.8,111.8,99.7,0.569,0.5,0.449,0.35,0.82,50.5,24.1,13.3,6.9,4.0,0.0,107.9,108.1,0.539,0,11/04/2021
Phoenix Suns,Houston Rockets,0.143,0.441,0.348,0.687,43.5,21.1,19.3,8.6,4.1,-6.6,99.3,105.9,0.54,0.5,0.47,0.316,0.729,45.8,26.7,14.6,8.0,3.1,-2.1,104.4,107.6,0.552,1,11/04/2021
Los Angeles Lakers,Oklahoma City Thunder,0.143,0.411,0.293,0.735,44.4,19.4,15.3,7.6,4.0,-13.1,96.7,109.5,0.505,0.625,0.482,0.362,0.718,41.7,23.3,15.9,8.8,5.9,0.7,107.8,107.3,0.566,0,11/04/2021
Milwaukee Bucks,New York Knicks,0.625,0.458,0.393,0.739,45.0,23.1,13.5,6.9,6.0,2.6,112.2,109.7,0.573,0.5,0.445,0.335,0.762,45.3,21.5,14.4,7.7,4.4,0.4,107.4,106.7,0.552,0,11/05/2021
Orlando Magic,San Antonio Spurs,0.25,0.471,0.343,0.677,42.7,27.4,13.8,8.8,5.2,-0.5,106.4,106.4,0.544,0.222,0.422,0.35,0.762,46.3,21.2,17.1,5.7,4.5,-8.4,103.2,111.4,0.537,0,11/05/2021
Washington Wizards,Memphis Grizzlies,0.625,0.446,0.363,0.792,46.3,25.4,14.7,10.3,5.6,-2.2,109.8,112.6,0.55,0.625,0.444,0.319,0.817,46.1,20.4,12.8,6.9,5.8,1.1,107.0,106.2,0.549,1,11/05/2021
Toronto Raptors,Cleveland Cavaliers,0.556,0.453,0.324,0.761,45.7,25.2,16.4,8.1,3.9,-0.7,105.4,105.6,0.547,0.667,0.431,0.332,0.775,48.6,20.3,13.9,11.3,3.6,5.2,107.4,102.4,0.523,0,11/05/2021
Golden State Warriors,New Orleans Pelicans,0.111,0.426,0.338,0.813,47.4,22.8,16.5,7.3,5.0,-8.0,103.3,111.0,0.524,0.857,0.458,0.381,0.742,47.9,28.1,15.9,9.1,4.9,9.5,106.9,97.1,0.571,1,11/05/2021
Minnesota Timberwolves,LA Clippers,0.429,0.437,0.357,0.735,40.8,24.0,13.0,10.0,4.3,0.8,103.6,103.1,0.541,0.429,0.418,0.32,0.767,44.4,23.4,16.5,10.3,5.6,-1.4,103.4,104.3,0.524,0,11/05/2021
Portland Trail Blazers,Indiana Pacers,0.333,0.465,0.36,0.78,44.6,24.5,16.3,7.0,6.2,-0.3,109.0,109.4,0.568,0.375,0.457,0.361,0.727,47.8,22.5,14.4,7.9,4.8,1.2,109.9,108.8,0.561,1,11/05/2021
Sacramento Kings,Charlotte Hornets,0.556,0.451,0.396,0.724,43.9,25.5,13.1,9.0,5.1,-0.2,111.1,110.8,0.553,0.5,0.454,0.326,0.781,44.3,23.2,12.6,6.7,5.2,-1.2,108.7,109.9,0.553,1,11/05/2021
Detroit Pistons,Brooklyn Nets,0.625,0.464,0.365,0.755,45.0,23.6,15.1,6.8,6.2,1.1,104.9,104.1,0.571,0.125,0.395,0.272,0.747,42.4,21.3,15.8,8.8,5.0,-13.3,97.1,110.0,0.49,0,11/05/2021
Miami Heat,Utah Jazz,0.875,0.453,0.331,0.819,50.9,19.1,16.3,7.2,5.6,12.7,113.2,100.3,0.577,0.75,0.456,0.344,0.831,52.3,24.1,15.0,7.5,2.3,12.5,111.2,98.6,0.561,1,11/06/2021
Chicago Bulls,Philadelphia 76ers,0.778,0.493,0.385,0.824,42.7,24.9,14.2,8.8,6.3,8.8,115.0,106.1,0.604,0.75,0.469,0.378,0.87,43.2,23.6,13.4,9.2,6.0,7.0,108.8,101.8,0.572,0,11/06/2021
Dallas Mavericks,Boston Celtics,0.444,0.427,0.336,0.787,44.2,22.0,13.5,8.2,6.9,-1.2,103.8,105.4,0.536,0.625,0.412,0.307,0.705,46.9,20.0,13.3,6.7,4.7,-5.3,101.8,106.9,0.513,1,11/06/2021
Phoenix Suns,Atlanta Hawks,0.444,0.447,0.339,0.818,48.8,23.6,12.9,7.4,4.0,-2.0,107.5,109.8,0.538,0.571,0.471,0.337,0.757,45.5,26.8,14.1,8.5,3.8,-0.1,106.3,107.3,0.559,1,11/06/2021
Portland Trail Blazers,Los Angeles Lakers,0.556,0.474,0.362,0.729,42.5,23.2,15.7,8.7,5.8,0.3,107.4,107.2,0.56,0.444,0.46,0.369,0.739,47.3,23.1,14.4,7.9,4.8,1.5,110.4,109.0,0.567,1,11/06/2021
Denver Nuggets,Houston Rockets,0.125,0.439,0.347,0.713,43.2,21.4,19.1,8.0,4.1,-7.2,100.1,107.3,0.542,0.5,0.474,0.3,0.7,44.3,24.4,17.2,9.1,4.3,2.0,102.0,100.6,0.551,1,11/06/2021
New York Knicks,Cleveland Cavaliers,0.6,0.453,0.325,0.769,45.5,25.1,16.7,7.8,3.9,-0.5,106.1,106.1,0.548,0.667,0.455,0.376,0.748,46.6,22.3,13.7,7.5,5.7,4.0,112.3,108.4,0.568,0,11/07/2021
Orlando Magic,Utah Jazz,0.778,0.46,0.332,0.811,49.2,20.0,15.3,7.5,5.4,11.0,114.4,103.3,0.582,0.2,0.419,0.344,0.759,45.9,21.4,17.2,6.0,5.3,-8.9,101.7,110.4,0.531,1,11/07/2021
Golden State Warriors,Houston Rockets,0.111,0.442,0.342,0.708,43.7,21.2,19.0,8.0,4.3,-6.5,99.7,106.3,0.543,0.875,0.466,0.384,0.753,48.0,29.1,15.3,9.2,4.8,13.3,109.2,96.0,0.581,1,11/07/2021
LA Clippers,Charlotte Hornets,0.5,0.453,0.388,0.714,42.2,25.8,12.8,8.9,5.0,-3.1,110.6,113.3,0.552,0.5,0.433,0.344,0.752,43.3,23.2,13.5,10.2,4.3,3.2,103.3,100.2,0.537,1,11/07/2021
Sacramento Kings,Indiana Pacers,0.3,0.467,0.357,0.77,44.3,25.0,15.9,7.1,5.8,-0.7,109.2,109.9,0.569,0.556,0.464,0.35,0.79,45.4,23.8,13.2,6.5,4.7,2.2,111.7,109.4,0.57,0,11/07/2021
Washington Wizards,Milwaukee Bucks,0.444,0.441,0.34,0.762,44.4,21.2,14.4,7.4,4.5,-1.3,106.3,107.4,0.55,0.667,0.458,0.325,0.8,46.8,21.8,13.4,6.6,5.8,4.0,107.7,104.0,0.558,1,11/07/2021
Toronto Raptors,Brooklyn Nets,0.667,0.463,0.369,0.769,45.0,23.8,15.3,6.4,5.9,1.7,104.0,102.8,0.569,0.6,0.431,0.342,0.764,48.7,20.4,13.7,11.3,4.1,4.6,107.7,103.4,0.52,0,11/07/2021
Oklahoma City Thunder,San Antonio Spurs,0.333,0.468,0.341,0.702,43.2,26.9,13.7,9.1,5.4,1.0,105.8,104.5,0.541,0.25,0.413,0.303,0.728,45.1,19.9,15.4,7.5,3.8,-11.1,98.0,108.9,0.51,1,11/07/2021
Philadelphia 76ers,New York Knicks,0.6,0.455,0.369,0.765,45.1,22.2,13.4,7.7,6.1,1.9,111.9,110.4,0.568,0.8,0.496,0.394,0.82,42.7,24.7,14.2,8.5,6.2,8.8,115.4,106.4,0.607,0,11/08/2021
Chicago Bulls,Brooklyn Nets,0.7,0.468,0.378,0.777,45.6,24.4,15.5,6.1,5.4,2.8,105.8,103.4,0.577,0.667,0.461,0.361,0.859,43.7,23.3,13.0,9.0,5.5,5.3,108.9,103.6,0.563,1,11/08/2021
Dallas Mavericks,New Orleans Pelicans,0.1,0.419,0.327,0.807,47.0,22.9,16.8,7.2,4.8,-11.3,101.8,112.5,0.517,0.667,0.423,0.309,0.716,46.5,20.0,13.6,6.8,4.8,-4.4,103.2,107.4,0.525,1,11/08/2021
Memphis Grizzlies,Minnesota Timberwolves,0.375,0.409,0.321,0.765,43.9,22.5,17.1,10.0,5.8,-3.7,100.5,103.9,0.516,0.556,0.436,0.348,0.789,45.4,24.6,14.1,10.5,5.4,-5.1,107.2,112.7,0.535,1,11/08/2021
Denver Nuggets,Miami Heat,0.778,0.47,0.357,0.825,51.0,25.0,15.1,7.1,2.1,11.6,113.0,101.3,0.573,0.556,0.466,0.291,0.717,44.5,23.9,16.6,9.2,4.4,1.9,101.6,100.1,0.544,1,11/08/2021
Sacramento Kings,Phoenix Suns,0.625,0.476,0.335,0.763,44.8,26.5,13.7,8.4,4.0,0.4,107.3,107.9,0.567,0.5,0.455,0.344,0.797,44.4,23.5,13.1,7.2,4.9,1.7,110.2,108.2,0.562,0,11/08/2021
Golden State Warriors,Atlanta Hawks,0.4,0.446,0.345,0.824,48.6,22.9,12.7,6.9,3.7,-2.2,107.9,110.2,0.539,0.889,0.471,0.377,0.765,47.1,29.2,15.5,9.4,4.6,13.2,110.0,97.0,0.587,1,11/08/2021
Los Angeles Lakers,Charlotte Hornets,0.455,0.448,0.38,0.719,42.2,25.2,12.8,9.2,4.7,-4.0,109.8,113.4,0.546,0.5,0.461,0.354,0.737,43.8,22.7,15.9,8.6,5.7,-1.1,105.1,106.3,0.549,1,11/08/2021
Philadelphia 76ers,Milwaukee Bucks,0.4,0.436,0.334,0.744,44.9,20.8,14.3,8.1,4.3,-1.9,105.2,106.9,0.541,0.727,0.485,0.386,0.82,43.3,24.4,13.8,8.4,6.2,7.4,114.2,106.6,0.596,0,11/09/2021
Utah Jazz,Atlanta Hawks,0.364,0.447,0.352,0.818,47.2,22.7,13.1,6.8,3.5,-3.3,108.0,111.5,0.544,0.7,0.452,0.318,0.813,49.4,20.2,15.6,7.8,5.6,9.2,113.3,104.0,0.573,1,11/09/2021
LA Clippers,Portland Trail Blazers,0.5,0.451,0.356,0.741,47.5,22.8,14.0,8.4,4.9,2.9,109.1,106.3,0.56,0.556,0.438,0.348,0.776,43.8,23.1,14.1,9.9,4.3,4.3,104.6,100.4,0.547,1,11/09/2021
Orlando Magic,Brooklyn Nets,0.636,0.461,0.374,0.783,45.2,23.9,15.4,6.1,5.5,0.5,104.8,104.6,0.57,0.273,0.426,0.347,0.762,45.4,21.7,16.9,6.2,5.6,-7.4,102.5,109.7,0.536,0,11/10/2021
Cleveland Cavaliers,Washington Wizards,0.7,0.463,0.332,0.789,46.4,22.1,14.0,6.7,6.0,4.3,107.2,103.1,0.56,0.636,0.462,0.347,0.771,45.8,25.7,16.8,7.8,3.7,1.1,108.2,106.4,0.558,0,11/10/2021
Boston Celtics,Toronto Raptors,0.545,0.434,0.332,0.765,47.7,20.8,13.2,11.2,4.3,3.0,107.9,105.2,0.522,0.4,0.433,0.332,0.779,43.7,22.0,13.4,8.1,6.4,-1.3,104.5,106.3,0.538,1,11/10/2021
New York Knicks,Milwaukee Bucks,0.455,0.439,0.339,0.741,45.5,20.8,13.8,7.8,4.5,-0.9,106.4,107.3,0.543,0.636,0.454,0.365,0.765,46.2,22.5,13.4,7.4,5.9,2.4,111.6,109.7,0.565,0,11/10/2021
Houston Rockets,Detroit Pistons,0.111,0.394,0.277,0.745,42.7,20.9,15.6,9.0,5.1,-12.5,96.5,108.4,0.488,0.1,0.443,0.338,0.703,43.4,20.8,19.1,8.3,4.2,-7.1,100.2,107.3,0.545,0,11/10/2021
Chicago Bulls,Dallas Mavericks,0.7,0.431,0.317,0.709,46.7,20.9,13.6,6.8,4.7,-2.3,104.3,106.6,0.531,0.7,0.462,0.353,0.858,44.9,23.1,12.6,8.9,5.4,7.0,109.7,102.7,0.562,1,11/10/2021
New Orleans Pelicans,Oklahoma City Thunder,0.333,0.408,0.301,0.742,46.4,20.0,15.3,7.2,4.1,-9.3,98.0,107.1,0.506,0.091,0.42,0.321,0.807,46.6,23.4,16.6,7.3,4.4,-11.8,101.6,112.7,0.515,0,11/10/2021
Phoenix Suns,Portland Trail Blazers,0.455,0.453,0.358,0.741,47.2,23.5,13.7,8.2,5.0,1.9,109.5,107.6,0.56,0.667,0.475,0.342,0.766,43.8,26.5,13.8,9.0,4.5,0.9,106.9,106.8,0.566,1,11/10/2021
San Antonio Spurs,Sacramento Kings,0.455,0.455,0.349,0.794,44.3,22.9,14.0,7.1,4.9,1.1,109.2,107.8,0.562,0.3,0.462,0.326,0.7,43.4,27.1,13.3,9.1,5.8,0.4,104.6,103.9,0.532,1,11/10/2021
