Home,Away,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Indiana Pacers,Philadelphia 76ers,0.615,0.476,0.376,0.835,43.4,24.6,13.2,8.3,6.5,5.0,113.8,108.4,0.585,0.385,0.465,0.351,0.761,46.4,23.6,16.1,7.1,6.3,0.3,108.3,108.3,0.561,1,11/13/2021
Toronto Raptors,Detroit Pistons,0.182,0.395,0.286,0.744,43.4,20.9,16.2,9.1,5.2,-11.4,96.5,107.5,0.491,0.538,0.434,0.334,0.788,47.3,21.1,13.5,10.9,4.8,1.7,107.3,105.7,0.524,0,11/13/2021
Cleveland Cavaliers,Boston Celtics,0.5,0.439,0.33,0.78,44.4,21.9,13.8,8.0,6.4,0.9,105.7,105.3,0.541,0.615,0.463,0.342,0.763,45.3,25.7,17.1,8.1,3.9,2.3,107.2,104.2,0.559,1,11/13/2021
LA Clippers,Chicago Bulls,0.667,0.463,0.361,0.851,44.5,22.9,13.1,8.9,4.9,4.5,109.1,104.5,0.564,0.667,0.456,0.361,0.777,44.6,24.0,13.4,9.1,4.7,6.4,108.1,102.1,0.562,0,11/14/2021
Los Angeles Lakers,San Antonio Spurs,0.333,0.47,0.357,0.692,43.1,27.8,12.9,8.7,5.4,0.7,107.3,106.2,0.546,0.538,0.459,0.356,0.732,44.1,22.7,16.4,8.6,6.0,-2.2,104.5,106.6,0.55,1,11/14/2021
Atlanta Hawks,Milwaukee Bucks,0.462,0.44,0.356,0.742,45.5,21.7,13.9,7.5,4.3,-0.5,107.6,108.0,0.548,0.308,0.443,0.354,0.8,46.8,22.7,12.9,6.4,3.8,-4.4,107.5,112.0,0.539,1,11/14/2021
Oklahoma City Thunder,Brooklyn Nets,0.692,0.468,0.39,0.785,44.5,24.5,15.1,6.4,5.4,3.5,107.0,104.0,0.58,0.455,0.411,0.303,0.749,47.9,19.7,15.1,7.2,4.3,-6.7,99.7,106.2,0.508,0,11/14/2021
Houston Rockets,Phoenix Suns,0.727,0.481,0.362,0.78,43.5,26.7,13.4,8.9,4.8,3.8,108.9,105.5,0.573,0.083,0.438,0.33,0.69,43.8,19.8,18.4,7.8,4.4,-7.6,99.8,107.6,0.538,0,11/14/2021
Charlotte Hornets,Golden State Warriors,0.917,0.473,0.367,0.795,46.8,28.6,15.4,10.5,4.5,14.2,112.8,98.7,0.592,0.5,0.447,0.372,0.736,43.4,25.1,13.3,9.1,4.7,-2.1,109.3,111.2,0.547,1,11/14/2021
Denver Nuggets,Portland Trail Blazers,0.462,0.451,0.347,0.758,47.6,23.4,13.9,8.1,4.7,1.8,109.2,107.4,0.557,0.667,0.461,0.298,0.733,45.6,24.4,15.0,8.5,4.5,3.9,104.6,101.1,0.544,1,11/14/2021
Cleveland Cavaliers,Boston Celtics,0.462,0.438,0.326,0.792,44.8,21.8,14.3,7.9,6.1,0.7,104.9,104.7,0.539,0.643,0.457,0.336,0.771,45.0,25.1,16.7,8.3,4.0,2.3,106.4,103.4,0.555,0,11/15/2021
Detroit Pistons,Sacramento Kings,0.385,0.455,0.343,0.793,44.6,22.5,14.1,6.7,5.2,-0.7,109.1,109.6,0.56,0.25,0.407,0.297,0.759,42.8,22.1,16.0,8.7,5.3,-9.9,99.4,108.9,0.506,0,11/15/2021
Atlanta Hawks,Orlando Magic,0.231,0.415,0.33,0.76,45.6,21.4,16.6,6.6,5.3,-9.8,100.7,110.1,0.521,0.357,0.446,0.36,0.802,47.2,22.6,12.9,6.4,3.6,-2.7,108.7,111.4,0.542,1,11/15/2021
Washington Wizards,New Orleans Pelicans,0.143,0.423,0.332,0.804,46.3,24.3,16.0,7.5,4.6,-9.7,103.8,112.9,0.522,0.75,0.462,0.335,0.804,47.1,23.1,14.1,6.9,5.8,4.8,107.1,102.4,0.56,1,11/15/2021
New York Knicks,Indiana Pacers,0.429,0.472,0.359,0.755,45.9,24.3,16.1,7.1,6.6,0.6,109.3,109.1,0.567,0.538,0.447,0.371,0.752,46.1,21.9,13.7,7.6,6.2,0.5,110.0,109.7,0.557,1,11/15/2021
Memphis Grizzlies,Houston Rockets,0.077,0.436,0.322,0.689,44.0,19.7,18.7,7.8,4.4,-9.0,98.9,107.9,0.534,0.462,0.434,0.331,0.763,47.0,24.2,14.0,9.7,5.8,-6.5,106.5,113.3,0.526,1,11/15/2021
Oklahoma City Thunder,Miami Heat,0.615,0.46,0.34,0.822,49.3,24.1,15.3,7.4,2.4,6.7,111.6,104.6,0.565,0.417,0.41,0.304,0.756,47.5,19.7,15.0,7.3,4.1,-8.2,99.4,107.5,0.508,0,11/15/2021
Minnesota Timberwolves,Phoenix Suns,0.75,0.477,0.361,0.787,44.1,26.0,13.1,9.5,5.0,5.6,109.1,104.0,0.57,0.333,0.413,0.331,0.763,44.0,23.4,16.3,9.3,5.7,-4.3,102.9,107.0,0.518,0,11/15/2021
Portland Trail Blazers,Toronto Raptors,0.5,0.439,0.338,0.772,46.8,21.2,13.5,10.8,4.6,1.2,108.5,107.6,0.53,0.429,0.45,0.346,0.766,47.0,23.4,14.0,8.2,4.7,-0.4,108.8,109.3,0.556,1,11/15/2021
Los Angeles Lakers,Chicago Bulls,0.692,0.462,0.362,0.855,44.5,22.6,13.2,8.9,4.8,5.0,108.4,103.4,0.562,0.571,0.463,0.364,0.734,44.3,23.1,16.4,8.5,5.9,-1.5,105.2,106.8,0.556,0,11/15/2021
Dallas Mavericks,Denver Nuggets,0.692,0.466,0.314,0.737,46.2,25.0,14.8,8.6,4.3,5.9,106.9,101.3,0.552,0.667,0.436,0.328,0.715,46.6,21.8,12.9,7.2,4.8,-1.6,106.2,108.0,0.538,1,11/15/2021
Brooklyn Nets,Golden State Warriors,0.846,0.469,0.358,0.784,46.9,28.7,15.3,10.3,4.7,12.9,112.0,99.3,0.585,0.714,0.47,0.393,0.798,44.6,25.0,15.1,6.5,5.2,5.0,108.1,103.4,0.586,0,11/16/2021
Utah Jazz,Philadelphia 76ers,0.571,0.472,0.383,0.838,43.8,24.1,13.3,8.5,6.2,4.3,114.3,109.5,0.583,0.615,0.454,0.321,0.787,47.5,20.8,15.5,8.2,5.1,6.7,112.3,105.6,0.572,1,11/16/2021
LA Clippers,San Antonio Spurs,0.308,0.468,0.365,0.69,43.2,27.9,13.0,8.7,5.1,0.1,107.5,106.9,0.546,0.615,0.449,0.358,0.797,44.6,23.4,13.9,8.9,4.8,5.1,106.7,102.0,0.557,1,11/16/2021
New York Knicks,Orlando Magic,0.214,0.418,0.333,0.754,45.2,22.0,16.5,6.7,5.3,-10.4,101.4,111.3,0.523,0.571,0.446,0.368,0.75,46.5,22.1,13.7,7.1,6.1,1.0,109.5,108.7,0.554,0,11/17/2021
Charlotte Hornets,Washington Wizards,0.769,0.462,0.337,0.793,47.0,23.2,13.6,7.1,5.7,4.9,107.5,102.7,0.56,0.533,0.449,0.373,0.734,43.1,25.0,13.3,9.2,4.6,-1.7,109.1,110.6,0.548,1,11/17/2021
Detroit Pistons,Indiana Pacers,0.4,0.465,0.349,0.755,46.0,23.9,15.7,7.1,6.6,0.1,108.3,108.7,0.56,0.231,0.407,0.295,0.77,43.0,22.1,16.2,8.6,5.0,-10.9,99.8,110.3,0.507,1,11/17/2021
Atlanta Hawks,Boston Celtics,0.5,0.439,0.327,0.792,44.9,22.0,14.3,7.9,6.1,1.0,104.6,104.1,0.541,0.4,0.453,0.366,0.786,47.1,23.2,12.8,6.7,3.8,-1.3,109.9,111.3,0.549,1,11/17/2021
Brooklyn Nets,Cleveland Cavaliers,0.6,0.453,0.341,0.769,44.9,24.7,16.6,8.2,3.9,1.7,105.7,103.3,0.552,0.667,0.464,0.385,0.796,44.0,24.6,14.8,6.9,5.0,3.4,107.2,104.1,0.579,1,11/17/2021
Miami Heat,New Orleans Pelicans,0.133,0.422,0.34,0.81,46.4,24.1,15.8,7.1,4.6,-9.4,104.0,112.9,0.525,0.643,0.46,0.349,0.823,49.0,24.0,15.6,7.6,2.6,7.1,111.0,103.7,0.566,1,11/17/2021
Milwaukee Bucks,Los Angeles Lakers,0.533,0.462,0.353,0.741,44.1,22.8,16.5,8.5,5.9,-2.5,104.8,107.4,0.556,0.429,0.441,0.355,0.735,44.5,21.9,13.7,7.5,4.3,-1.9,107.2,109.1,0.548,1,11/17/2021
Oklahoma City Thunder,Houston Rockets,0.071,0.432,0.32,0.692,44.0,19.9,18.6,7.6,4.4,-10.7,98.7,109.4,0.529,0.385,0.41,0.309,0.754,47.2,20.2,15.4,7.2,4.5,-8.6,98.8,107.2,0.509,1,11/17/2021
Minnesota Timberwolves,Sacramento Kings,0.429,0.461,0.352,0.794,44.7,23.1,14.1,7.0,5.2,0.9,110.4,109.2,0.565,0.308,0.41,0.328,0.765,44.6,22.9,16.6,9.2,5.4,-4.2,102.0,106.3,0.516,1,11/17/2021
Phoenix Suns,Dallas Mavericks,0.692,0.441,0.333,0.715,46.6,22.6,12.6,7.2,4.6,-0.7,107.1,107.9,0.542,0.769,0.47,0.35,0.785,44.6,25.6,13.2,9.4,4.7,5.4,108.2,103.1,0.564,1,11/17/2021
Portland Trail Blazers,Chicago Bulls,0.714,0.468,0.369,0.85,43.8,23.1,13.5,8.9,4.6,5.9,108.9,103.0,0.568,0.467,0.457,0.352,0.764,46.7,23.6,14.0,8.0,4.8,-0.1,109.9,110.1,0.563,1,11/17/2021
Denver Nuggets,Philadelphia 76ers,0.533,0.465,0.373,0.833,43.6,23.7,13.0,8.3,6.1,1.6,112.2,110.3,0.573,0.643,0.466,0.312,0.734,46.4,24.7,14.7,8.3,4.4,4.8,106.9,102.5,0.552,0,11/18/2021
Utah Jazz,Toronto Raptors,0.467,0.44,0.346,0.779,46.5,21.2,13.4,10.6,4.4,0.8,109.4,108.8,0.533,0.643,0.459,0.328,0.778,48.2,21.3,15.2,7.9,5.3,8.8,113.0,104.1,0.575,1,11/18/2021
Cleveland Cavaliers,Golden State Warriors,0.857,0.472,0.355,0.785,47.2,28.4,15.8,9.9,4.9,13.2,112.0,98.9,0.589,0.563,0.449,0.333,0.775,45.3,24.4,16.4,8.2,3.7,1.0,105.3,103.6,0.549,0,11/18/2021
Miami Heat,Washington Wizards,0.714,0.455,0.323,0.794,47.3,23.3,13.5,7.1,5.7,3.8,106.6,102.8,0.552,0.667,0.461,0.351,0.823,48.5,24.4,15.3,7.5,2.6,7.7,111.5,103.7,0.568,1,11/18/2021
Memphis Grizzlies,LA Clippers,0.643,0.448,0.355,0.806,44.8,22.7,14.3,8.9,4.7,5.7,106.1,100.8,0.558,0.5,0.442,0.336,0.766,46.9,24.7,13.6,10.0,6.0,-3.6,108.1,112.1,0.535,1,11/18/2021
Minnesota Timberwolves,San Antonio Spurs,0.286,0.465,0.358,0.691,42.8,27.6,13.2,8.8,5.0,-0.9,105.9,106.3,0.541,0.357,0.415,0.325,0.77,44.1,22.7,16.7,9.2,5.8,-3.2,102.7,106.0,0.521,1,11/18/2021
Milwaukee Bucks,Oklahoma City Thunder,0.429,0.413,0.305,0.742,47.7,20.0,15.3,7.4,4.6,-7.1,98.9,105.9,0.509,0.467,0.442,0.353,0.732,44.8,21.8,13.8,7.6,4.2,-1.3,107.1,108.4,0.548,1,11/19/2021
Sacramento Kings,Toronto Raptors,0.438,0.439,0.34,0.785,45.8,21.4,13.4,10.6,4.3,-0.3,109.1,109.6,0.531,0.4,0.454,0.346,0.792,45.0,22.9,14.5,7.0,5.0,0.2,109.9,109.3,0.558,0,11/19/2021
Charlotte Hornets,Indiana Pacers,0.375,0.463,0.342,0.754,45.9,23.3,15.9,6.9,6.5,-0.4,107.3,108.2,0.557,0.563,0.448,0.37,0.729,44.3,25.4,13.2,9.0,4.8,-1.0,108.8,109.6,0.545,1,11/19/2021
Detroit Pistons,Golden State Warriors,0.867,0.474,0.355,0.787,46.7,29.1,15.6,10.1,4.8,13.4,112.2,98.8,0.59,0.286,0.408,0.295,0.768,43.0,21.7,16.0,8.9,5.0,-9.5,99.8,109.0,0.508,0,11/19/2021
New Orleans Pelicans,LA Clippers,0.6,0.45,0.359,0.812,44.2,22.9,14.4,8.7,4.8,4.6,106.5,102.2,0.559,0.125,0.423,0.336,0.807,46.0,23.8,16.0,7.1,4.5,-9.8,104.0,113.2,0.527,1,11/19/2021
Boston Celtics,Los Angeles Lakers,0.5,0.459,0.347,0.745,44.2,22.8,16.3,8.5,5.7,-2.8,104.4,107.2,0.552,0.467,0.439,0.323,0.794,44.9,22.2,14.3,8.0,5.9,0.3,104.6,104.8,0.541,1,11/19/2021
Brooklyn Nets,Orlando Magic,0.267,0.417,0.33,0.759,45.6,21.9,16.4,6.7,5.1,-9.3,101.6,110.5,0.521,0.688,0.464,0.384,0.799,44.2,24.9,14.7,6.9,4.8,3.9,107.3,103.7,0.579,1,11/19/2021
Denver Nuggets,Chicago Bulls,0.667,0.468,0.375,0.847,43.3,23.2,13.6,8.8,4.9,5.2,109.0,103.7,0.569,0.6,0.459,0.313,0.739,46.6,24.6,14.5,8.2,4.3,3.5,106.2,103.0,0.546,0,11/19/2021
Phoenix Suns,Dallas Mavericks,0.643,0.439,0.343,0.721,47.0,23.1,12.5,7.1,4.5,-1.2,106.9,108.0,0.541,0.786,0.467,0.349,0.782,45.0,25.7,12.9,9.2,4.9,5.5,108.3,103.1,0.561,1,11/19/2021
New York Knicks,Houston Rockets,0.067,0.426,0.317,0.691,44.1,19.7,18.3,7.5,4.4,-10.7,98.0,108.7,0.524,0.533,0.444,0.364,0.747,46.4,22.3,14.0,7.0,6.2,0.5,108.8,108.4,0.552,1,11/20/2021
Indiana Pacers,New Orleans Pelicans,0.176,0.424,0.342,0.803,46.7,23.6,15.9,7.2,4.3,-8.5,103.8,111.8,0.526,0.353,0.463,0.34,0.757,45.3,23.0,15.5,7.1,6.4,-0.6,107.6,108.6,0.558,1,11/20/2021
Boston Celtics,Oklahoma City Thunder,0.4,0.409,0.3,0.733,48.2,19.8,15.1,7.3,4.6,-7.1,98.3,105.3,0.504,0.5,0.443,0.325,0.796,45.3,22.1,14.3,7.9,5.6,1.6,106.1,105.1,0.546,1,11/20/2021
Washington Wizards,Miami Heat,0.688,0.464,0.353,0.824,48.2,24.7,14.8,7.7,2.5,8.2,111.9,103.7,0.57,0.667,0.457,0.33,0.787,46.8,23.5,13.8,6.9,5.5,2.6,106.4,103.8,0.554,1,11/20/2021
Atlanta Hawks,Charlotte Hornets,0.588,0.453,0.37,0.731,44.2,25.5,13.4,8.9,4.9,-0.8,109.2,109.7,0.55,0.438,0.456,0.365,0.789,46.8,23.6,12.9,6.8,3.9,-0.5,110.2,110.9,0.553,1,11/20/2021
Milwaukee Bucks,Orlando Magic,0.25,0.419,0.333,0.759,45.7,22.2,16.2,6.7,5.2,-8.8,102.5,110.9,0.524,0.5,0.438,0.349,0.742,45.4,21.8,13.7,7.7,4.3,-0.8,106.5,107.3,0.546,1,11/20/2021
Minnesota Timberwolves,Memphis Grizzlies,0.533,0.449,0.34,0.767,47.0,25.0,13.6,9.9,6.1,-2.6,109.1,112.1,0.54,0.4,0.419,0.333,0.772,44.5,23.3,16.5,8.9,6.0,-1.4,103.9,105.3,0.527,1,11/20/2021
Portland Trail Blazers,Philadelphia 76ers,0.563,0.467,0.373,0.82,43.9,23.7,12.9,8.1,6.2,2.4,112.2,109.4,0.573,0.5,0.456,0.352,0.782,46.6,23.8,14.2,8.2,4.8,0.3,110.1,110.1,0.564,1,11/20/2021
Sacramento Kings,Utah Jazz,0.667,0.465,0.334,0.783,48.1,22.1,15.8,7.9,5.6,9.3,113.5,104.1,0.582,0.375,0.45,0.339,0.78,44.8,22.5,14.6,7.1,5.0,-1.0,108.9,109.6,0.552,0,11/20/2021
