Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Philadelphia 76ers,Miami Heat,0021600810,117,0.358,0.437,0.351,0.761,42.9,23.6,16.9,8.2,5.4,-6.1,101.6,107.5,0.535,109,0.444,0.451,0.358,0.686,45.6,22.2,14.0,7.4,5.8,-0.9,105.2,106.3,0.532,1,02/11/2017
Houston Rockets,Phoenix Suns,0021600812,133,0.696,0.465,0.362,0.761,43.7,25.4,15.3,8.3,4.6,6.2,113.8,107.6,0.584,102,0.315,0.446,0.342,0.788,44.2,18.3,15.4,8.3,4.4,-5.8,105.9,111.4,0.538,1,02/11/2017
Cleveland Cavaliers,Denver Nuggets,0021600811,125,0.692,0.463,0.388,0.752,44.9,22.5,14.3,7.5,4.1,5.1,113.0,107.9,0.575,109,0.453,0.462,0.366,0.761,46.8,24.6,15.4,6.8,4.3,-1.1,111.0,112.5,0.558,1,02/11/2017
Utah Jazz,Boston Celtics,0021600815,104,0.63,0.467,0.367,0.754,46.6,21.3,14.7,7.3,5.3,5.2,108.9,103.6,0.566,112,0.642,0.453,0.365,0.82,42.7,26.0,13.0,7.8,4.4,2.5,111.3,108.9,0.565,0,02/11/2017
Indiana Pacers,Milwaukee Bucks,0021600809,100,0.547,0.465,0.366,0.813,42.0,22.8,14.1,8.7,5.4,-0.2,106.9,107.0,0.557,116,0.423,0.476,0.367,0.757,43.2,25.3,14.9,8.6,5.8,-0.4,108.5,109.0,0.563,0,02/11/2017
Dallas Mavericks,Orlando Magic,0021600814,112,0.396,0.441,0.357,0.802,40.9,21.5,12.6,8.3,4.1,-2.8,105.2,107.8,0.543,80,0.364,0.442,0.333,0.724,44.3,23.2,13.8,7.0,5.3,-6.2,103.4,109.4,0.524,1,02/11/2017
Charlotte Hornets,LA Clippers,0021600808,102,0.453,0.439,0.352,0.806,46.2,24.0,12.4,6.7,5.2,0.6,107.5,107.2,0.543,107,0.604,0.469,0.379,0.748,44.5,23.0,13.3,7.7,4.7,3.4,111.0,107.7,0.568,0,02/11/2017
Oklahoma City Thunder,Golden State Warriors,0021600813,114,0.574,0.45,0.322,0.744,46.8,21.4,15.3,7.8,5.3,0.4,107.1,106.6,0.538,130,0.849,0.501,0.391,0.791,44.1,30.6,14.7,9.3,6.5,13.0,116.1,103.4,0.606,0,02/11/2017
New York Knicks,San Antonio Spurs,0021600817,94,0.4,0.447,0.356,0.776,46.8,22.2,14.3,7.4,5.8,-3.2,107.8,111.0,0.534,90,0.774,0.478,0.408,0.807,45.4,25.0,13.9,8.3,6.1,8.7,111.5,103.0,0.575,1,02/12/2017
Sacramento Kings,New Orleans Pelicans,0021600819,105,0.407,0.457,0.366,0.777,42.4,23.5,15.0,8.5,4.2,-2.7,107.5,110.6,0.556,99,0.389,0.445,0.355,0.744,44.3,22.7,12.9,7.7,6.0,-3.3,103.6,107.0,0.534,1,02/12/2017
Minnesota Timberwolves,Chicago Bulls,0021600816,117,0.37,0.462,0.351,0.787,44.2,24.3,15.0,8.0,4.8,-1.6,109.0,110.3,0.552,89,0.481,0.44,0.314,0.797,48.8,22.0,14.0,8.1,5.2,-0.4,106.6,107.0,0.525,1,02/12/2017
Toronto Raptors,Detroit Pistons,0021600818,101,0.593,0.465,0.371,0.806,44.4,19.4,12.6,8.9,5.1,4.7,113.1,108.5,0.565,102,0.463,0.456,0.338,0.736,46.2,22.3,12.8,7.5,4.0,-0.4,105.7,106.3,0.53,0,02/12/2017
Phoenix Suns,New Orleans Pelicans,0021600829,108,0.309,0.445,0.343,0.788,44.1,18.3,15.4,8.3,4.4,-6.2,105.7,111.7,0.537,110,0.382,0.445,0.357,0.746,44.1,22.7,13.0,7.7,6.0,-3.4,103.5,106.9,0.534,0,02/13/2017
Brooklyn Nets,Memphis Grizzlies,0021600822,103,0.167,0.441,0.339,0.793,43.0,20.6,16.7,6.8,4.6,-8.6,102.8,111.2,0.547,112,0.589,0.432,0.356,0.786,45.8,21.9,13.8,8.8,4.9,1.3,106.5,105.1,0.533,0,02/13/2017
Miami Heat,Orlando Magic,0021600823,107,0.436,0.451,0.357,0.69,45.7,22.1,14.1,7.3,5.7,-1.1,105.3,106.5,0.532,116,0.357,0.441,0.33,0.724,44.3,23.0,13.8,7.0,5.3,-6.7,103.1,109.5,0.522,0,02/13/2017
Portland Trail Blazers,Atlanta Hawks,0021600830,104,0.426,0.456,0.359,0.788,43.4,22.1,13.8,7.0,5.0,-2.4,108.8,111.1,0.555,109,0.574,0.457,0.344,0.729,44.5,24.5,15.6,8.5,4.9,-0.3,105.7,105.9,0.545,0,02/13/2017
Milwaukee Bucks,Detroit Pistons,0021600824,102,0.434,0.476,0.371,0.757,43.2,25.4,14.8,8.6,5.9,0.0,108.9,109.1,0.565,89,0.473,0.456,0.336,0.737,46.2,22.1,12.7,7.5,4.0,-0.4,105.8,106.4,0.53,1,02/13/2017
Utah Jazz,LA Clippers,0021600828,72,0.618,0.466,0.364,0.757,46.5,21.2,14.7,7.3,5.2,5.0,109.0,103.9,0.566,88,0.611,0.469,0.38,0.747,44.7,23.1,13.4,7.6,4.8,3.5,111.1,107.7,0.568,0,02/13/2017
Indiana Pacers,San Antonio Spurs,0021600825,106,0.537,0.465,0.367,0.814,42.0,22.8,14.2,8.6,5.4,-0.5,107.0,107.3,0.558,110,0.759,0.475,0.403,0.807,45.5,24.9,13.9,8.4,6.0,8.4,111.3,102.9,0.572,0,02/13/2017
Dallas Mavericks,Boston Celtics,0021600826,98,0.407,0.442,0.36,0.802,41.1,21.7,12.6,8.3,4.1,-2.1,105.4,107.4,0.544,111,0.648,0.455,0.366,0.816,42.6,25.9,13.0,7.7,4.4,2.6,111.5,108.9,0.567,0,02/13/2017
Denver Nuggets,Golden State Warriors,0021600827,132,0.444,0.461,0.365,0.762,46.8,24.6,15.4,6.8,4.3,-1.4,110.9,112.6,0.557,110,0.852,0.501,0.391,0.789,44.0,30.5,14.6,9.3,6.4,13.0,116.3,103.5,0.606,1,02/13/2017
Charlotte Hornets,Philadelphia 76ers,0021600821,99,0.444,0.439,0.352,0.805,46.2,24.0,12.3,6.7,5.2,0.5,107.5,107.4,0.543,105,0.37,0.437,0.351,0.762,42.8,23.7,16.7,8.4,5.5,-5.8,101.8,107.5,0.536,0,02/13/2017
Washington Wizards,Oklahoma City Thunder,0021600820,120,0.604,0.475,0.369,0.783,44.0,24.0,14.5,8.7,4.1,2.3,109.6,107.4,0.561,98,0.564,0.451,0.321,0.745,46.7,21.3,15.4,7.8,5.3,0.1,107.2,106.9,0.539,1,02/13/2017
