Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Philadelphia 76ers,Toronto Raptors,0021600374,114,0.25,0.434,0.362,0.724,44.1,23.1,17.4,8.1,6.0,-7.7,99.3,107.0,0.527,123,0.708,0.477,0.401,0.818,44.5,21.2,12.4,9.1,4.6,9.2,115.9,106.8,0.581,0,12/14/2016
San Antonio Spurs,Boston Celtics,0021600383,108,0.792,0.463,0.4,0.818,44.5,24.7,13.5,8.7,6.1,6.0,109.6,103.7,0.563,101,0.542,0.448,0.358,0.785,43.9,25.7,12.8,7.4,4.8,1.6,108.3,106.8,0.548,1,12/14/2016
Brooklyn Nets,Los Angeles Lakers,0021600378,107,0.261,0.439,0.327,0.779,42.6,20.2,16.5,7.7,4.1,-8.5,103.3,111.7,0.546,97,0.37,0.447,0.347,0.778,44.4,20.8,16.5,8.6,3.4,-6.5,105.1,111.5,0.537,1,12/14/2016
Orlando Magic,LA Clippers,0021600376,108,0.423,0.43,0.338,0.711,45.5,22.9,13.6,6.9,5.9,-4.9,102.0,106.7,0.514,113,0.72,0.466,0.381,0.764,44.7,23.0,12.9,8.9,4.9,9.1,111.9,103.0,0.569,0,12/14/2016
Houston Rockets,Sacramento Kings,0021600380,132,0.72,0.467,0.378,0.744,45.0,25.1,16.3,8.0,4.7,5.9,113.2,107.3,0.58,98,0.375,0.447,0.346,0.772,43.4,22.7,14.7,8.8,4.2,-0.8,106.1,107.4,0.539,1,12/14/2016
Miami Heat,Indiana Pacers,0021600377,95,0.32,0.432,0.333,0.673,47.1,21.5,13.8,7.6,5.9,-3.3,103.4,106.7,0.509,89,0.52,0.458,0.371,0.804,42.2,22.3,14.8,9.0,6.0,-1.9,105.1,106.8,0.548,1,12/14/2016
Utah Jazz,Oklahoma City Thunder,0021600382,109,0.6,0.464,0.361,0.781,46.4,20.9,14.0,7.0,5.8,5.4,109.2,103.4,0.567,89,0.6,0.456,0.328,0.712,45.9,21.9,15.9,7.9,5.1,1.5,105.7,103.8,0.538,1,12/14/2016
Dallas Mavericks,Detroit Pistons,0021600381,85,0.25,0.421,0.335,0.793,42.3,20.5,13.6,8.2,3.9,-7.5,100.5,107.9,0.518,95,0.5,0.451,0.347,0.753,47.2,22.1,12.3,7.6,4.2,3.2,105.0,101.9,0.523,0,12/14/2016
Washington Wizards,Charlotte Hornets,0021600375,109,0.391,0.454,0.354,0.775,43.0,21.9,14.9,9.2,3.8,-2.4,105.5,108.0,0.536,106,0.56,0.436,0.35,0.753,47.0,23.8,12.1,6.5,5.1,2.1,106.5,104.7,0.536,1,12/14/2016
Memphis Grizzlies,Cleveland Cavaliers,0021600379,93,0.654,0.419,0.327,0.781,45.9,20.8,14.5,9.0,5.6,-0.2,102.1,102.3,0.515,85,0.783,0.465,0.4,0.764,45.8,23.4,14.5,7.1,4.6,8.5,114.6,106.4,0.582,1,12/14/2016
Golden State Warriors,New York Knicks,0021600388,103,0.846,0.495,0.38,0.788,43.6,30.5,14.5,9.2,6.4,11.5,115.8,104.6,0.601,90,0.56,0.445,0.358,0.782,46.6,22.5,14.2,7.4,5.9,-2.3,106.8,109.7,0.533,1,12/15/2016
Phoenix Suns,San Antonio Spurs,0021600387,92,0.32,0.442,0.332,0.765,44.6,17.9,15.5,8.4,4.2,-6.0,103.4,108.9,0.531,107,0.8,0.466,0.398,0.819,44.3,25.1,13.6,8.7,6.0,6.0,109.7,103.8,0.565,0,12/15/2016
Milwaukee Bucks,Chicago Bulls,0021600384,108,0.478,0.461,0.343,0.773,44.9,24.3,14.9,8.6,5.6,0.4,106.0,105.7,0.55,97,0.542,0.44,0.307,0.808,50.3,21.5,14.1,8.0,5.9,2.9,106.9,103.8,0.525,1,12/15/2016
Denver Nuggets,Portland Trail Blazers,0021600386,132,0.36,0.437,0.35,0.745,49.3,21.5,16.6,6.4,4.4,-3.2,105.7,109.1,0.53,120,0.481,0.458,0.369,0.797,42.6,22.3,13.6,7.0,5.0,-1.7,109.8,111.5,0.562,1,12/15/2016
New Orleans Pelicans,Indiana Pacers,0021600385,102,0.308,0.44,0.327,0.77,43.7,22.6,13.2,7.9,6.1,-4.2,102.0,106.2,0.529,95,0.5,0.454,0.369,0.805,42.2,22.1,14.6,9.0,5.9,-2.1,104.8,106.6,0.545,1,12/15/2016
Philadelphia 76ers,Los Angeles Lakers,0021600396,89,0.24,0.436,0.36,0.726,44.2,23.3,17.3,8.0,5.9,-7.8,100.0,107.9,0.53,100,0.357,0.444,0.342,0.77,44.5,20.5,16.3,8.5,3.5,-6.6,104.9,111.3,0.534,0,12/16/2016
Chicago Bulls,Milwaukee Bucks,0021600393,69,0.52,0.441,0.305,0.805,50.0,21.6,14.3,7.9,5.8,2.3,106.7,104.2,0.526,95,0.5,0.462,0.35,0.767,44.8,24.7,14.7,8.5,5.6,0.9,106.3,105.5,0.549,0,12/16/2016
Boston Celtics,Charlotte Hornets,0021600391,96,0.52,0.447,0.357,0.787,43.6,25.8,12.8,7.6,4.7,1.2,108.2,107.1,0.548,88,0.538,0.439,0.354,0.753,46.5,23.9,12.3,6.5,5.2,1.9,106.6,105.0,0.539,1,12/16/2016
Orlando Magic,Brooklyn Nets,0021600390,118,0.407,0.432,0.342,0.704,45.4,23.2,13.5,6.9,5.7,-5.0,102.6,107.3,0.515,111,0.292,0.437,0.327,0.777,43.3,20.1,16.5,7.6,4.1,-7.7,103.4,111.2,0.545,1,12/16/2016
Houston Rockets,New Orleans Pelicans,0021600395,122,0.731,0.471,0.384,0.74,45.1,25.7,16.3,8.0,4.7,7.0,113.9,106.9,0.585,100,0.333,0.439,0.329,0.767,44.1,22.6,13.3,7.9,6.1,-3.8,101.9,105.7,0.529,1,12/16/2016
Miami Heat,LA Clippers,0021600397,98,0.346,0.433,0.331,0.668,47.6,21.6,13.9,7.4,5.9,-2.9,103.3,106.3,0.509,102,0.731,0.467,0.386,0.76,44.7,23.0,12.9,8.8,4.9,9.0,112.3,103.5,0.571,0,12/16/2016
Utah Jazz,Dallas Mavericks,0021600398,103,0.615,0.468,0.368,0.782,46.3,21.1,14.1,6.9,5.8,6.1,109.7,103.3,0.572,100,0.24,0.42,0.334,0.794,42.0,20.5,13.6,8.4,3.9,-7.6,100.3,107.7,0.517,1,12/16/2016
Washington Wizards,Detroit Pistons,0021600389,122,0.417,0.457,0.351,0.777,43.0,22.2,14.9,9.4,3.8,-2.2,105.8,108.1,0.538,108,0.519,0.453,0.345,0.756,47.4,22.1,12.6,7.5,4.1,3.5,105.0,101.7,0.525,1,12/16/2016
Toronto Raptors,Atlanta Hawks,0021600392,121,0.72,0.476,0.399,0.821,44.4,21.3,12.4,9.2,4.6,9.2,116.4,107.3,0.582,125,0.48,0.456,0.326,0.714,44.5,24.4,17.1,9.1,5.5,-1.9,102.8,104.5,0.538,0,12/16/2016
Memphis Grizzlies,Sacramento Kings,0021600394,92,0.667,0.42,0.333,0.779,46.4,21.0,14.6,9.0,5.6,0.1,102.1,101.9,0.515,96,0.36,0.446,0.346,0.773,43.3,22.8,14.7,8.7,4.3,-2.1,105.8,108.4,0.538,0,12/16/2016
Golden State Warriors,Portland Trail Blazers,0021600405,135,0.852,0.494,0.377,0.785,44.1,30.9,14.6,9.1,6.5,11.5,115.3,104.1,0.598,90,0.464,0.458,0.368,0.799,42.5,22.3,13.6,7.0,4.9,-2.0,110.0,112.1,0.562,1,12/17/2016
Cleveland Cavaliers,Los Angeles Lakers,0021600402,119,0.75,0.462,0.399,0.758,45.7,22.9,14.4,7.2,4.5,7.8,113.7,106.2,0.578,108,0.379,0.445,0.34,0.773,44.6,20.4,16.4,8.6,3.5,-6.0,104.6,110.5,0.535,1,12/17/2016
