Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Golden State Warriors,Orlando Magic,0021700199,110,0.769,0.521,0.416,0.828,43.0,29.9,16.8,8.6,8.7,11.6,116.0,104.4,0.636,100,0.615,0.477,0.406,0.754,41.0,24.8,15.3,8.3,5.0,2.9,108.9,105.5,0.578,1,11/13/2017
New York Knicks,Cleveland Cavaliers,0021700193,101,0.583,0.482,0.349,0.773,45.6,24.6,16.9,7.3,5.0,1.5,109.4,107.6,0.565,104,0.462,0.477,0.354,0.818,41.6,21.4,15.8,6.5,4.0,-3.1,110.1,113.5,0.585,0,11/13/2017
Phoenix Suns,Los Angeles Lakers,0021700196,93,0.357,0.44,0.336,0.762,43.4,17.2,15.4,6.6,5.3,-8.8,101.6,110.2,0.536,100,0.385,0.457,0.289,0.713,44.6,21.1,17.4,7.9,5.6,-3.2,99.5,102.5,0.532,0,11/13/2017
LA Clippers,Philadelphia 76ers,0021700200,105,0.417,0.45,0.363,0.759,46.6,19.5,15.1,8.4,3.9,1.7,109.0,107.0,0.554,109,0.5,0.455,0.402,0.699,45.9,25.3,17.8,8.1,4.2,-1.8,104.1,105.2,0.552,0,11/13/2017
Portland Trail Blazers,Denver Nuggets,0021700198,99,0.5,0.434,0.385,0.827,48.3,18.5,14.9,6.8,5.7,4.8,105.7,101.3,0.54,82,0.615,0.465,0.368,0.73,45.5,24.6,15.6,8.4,4.6,2.4,107.8,105.3,0.555,1,11/13/2017
Milwaukee Bucks,Memphis Grizzlies,0021700194,110,0.5,0.481,0.382,0.773,39.6,24.9,15.1,7.8,4.8,-1.5,106.2,107.6,0.573,103,0.583,0.447,0.336,0.785,41.2,20.3,14.1,8.3,5.8,2.0,104.2,102.9,0.553,1,11/13/2017
Utah Jazz,Minnesota Timberwolves,0021700197,98,0.462,0.431,0.347,0.83,41.8,19.7,17.1,10.3,6.2,-1.3,100.2,101.3,0.537,109,0.583,0.462,0.354,0.791,42.4,21.7,15.5,8.9,3.8,-3.0,107.1,110.1,0.556,0,11/13/2017
Washington Wizards,Sacramento Kings,0021700192,110,0.583,0.47,0.367,0.773,41.8,22.3,15.7,8.5,5.0,4.3,108.3,104.4,0.569,92,0.25,0.434,0.362,0.744,41.7,20.8,15.6,7.6,3.8,-10.8,97.3,107.9,0.511,1,11/13/2017
New Orleans Pelicans,Atlanta Hawks,0021700195,106,0.538,0.468,0.339,0.751,44.4,23.9,16.0,7.9,4.8,0.4,103.9,103.5,0.562,105,0.154,0.442,0.384,0.801,41.0,21.3,15.9,8.8,4.1,-8.2,101.6,109.4,0.539,1,11/13/2017
Brooklyn Nets,Boston Celtics,0021700201,102,0.385,0.434,0.329,0.74,42.7,19.8,14.9,8.2,4.0,-3.7,103.8,107.4,0.537,109,0.857,0.431,0.357,0.769,49.1,23.2,14.9,8.7,4.1,8.5,105.6,97.4,0.536,0,11/14/2017
Houston Rockets,Toronto Raptors,0021700202,113,0.786,0.458,0.342,0.804,44.7,22.0,16.4,9.3,4.9,8.3,112.3,103.9,0.591,129,0.583,0.47,0.335,0.78,41.4,22.0,14.7,8.5,5.4,4.4,108.7,104.4,0.572,0,11/14/2017
Dallas Mavericks,San Antonio Spurs,0021700203,91,0.143,0.424,0.359,0.758,41.5,20.7,15.0,7.1,3.8,-8.3,100.7,108.9,0.528,97,0.615,0.455,0.387,0.756,47.1,24.3,15.2,8.1,6.5,3.5,106.3,102.6,0.541,0,11/14/2017
New Orleans Pelicans,Toronto Raptors,0021700211,116,0.571,0.473,0.344,0.745,44.1,24.5,16.3,8.1,4.9,0.4,104.4,104.0,0.567,125,0.615,0.474,0.345,0.78,40.9,22.4,14.5,8.7,5.3,5.3,110.1,104.8,0.58,0,11/15/2017
Los Angeles Lakers,Philadelphia 76ers,0021700214,109,0.429,0.455,0.302,0.71,45.0,20.7,17.3,7.8,5.6,-2.5,99.2,101.5,0.531,115,0.538,0.458,0.388,0.704,46.2,25.4,17.9,8.2,4.0,-1.4,104.4,105.2,0.555,0,11/15/2017
New York Knicks,Utah Jazz,0021700206,106,0.538,0.478,0.347,0.773,45.8,24.1,16.9,7.7,4.8,1.1,108.6,107.2,0.561,101,0.429,0.432,0.347,0.833,41.2,20.0,17.0,10.1,6.1,-2.0,100.4,102.2,0.538,1,11/15/2017
Miami Heat,Washington Wizards,0021700205,93,0.462,0.452,0.351,0.774,43.2,20.5,16.5,8.1,5.4,-1.2,101.8,103.4,0.549,102,0.615,0.473,0.363,0.778,42.6,23.0,15.4,8.4,4.7,5.3,109.0,104.2,0.572,0,11/15/2017
Milwaukee Bucks,Detroit Pistons,0021700209,99,0.538,0.482,0.393,0.768,39.5,24.9,14.9,7.7,4.8,-0.9,107.2,108.0,0.574,95,0.769,0.464,0.38,0.756,44.7,22.8,14.5,8.6,3.3,5.4,108.8,103.9,0.554,1,11/15/2017
Portland Trail Blazers,Orlando Magic,0021700213,99,0.538,0.44,0.382,0.831,48.1,18.9,15.5,7.3,5.6,5.8,105.5,100.1,0.544,94,0.571,0.473,0.399,0.762,40.6,24.9,15.0,8.4,4.9,2.0,108.2,105.7,0.574,1,11/15/2017
