Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Philadelphia 76ers,Memphis Grizzlies,0021600212,99,0.286,0.44,0.356,0.725,42.4,22.4,17.4,8.4,5.5,-9.2,99.0,108.7,0.53,104,0.643,0.426,0.343,0.793,45.1,20.9,15.6,8.7,5.3,1.0,103.8,102.7,0.527,0,11/23/2016
Golden State Warriors,Los Angeles Lakers,0021600223,149,0.857,0.494,0.369,0.81,43.2,30.5,14.5,9.7,6.0,10.2,115.6,105.7,0.6,106,0.533,0.471,0.37,0.807,43.2,22.1,16.1,8.6,4.0,0.3,109.5,109.4,0.57,1,11/23/2016
Brooklyn Nets,Boston Celtics,0021600217,92,0.308,0.441,0.325,0.808,42.4,20.2,16.4,7.9,4.1,-6.7,103.8,110.8,0.551,111,0.571,0.446,0.356,0.768,44.0,24.4,13.3,7.1,4.9,-0.2,106.8,106.9,0.547,0,11/23/2016
Orlando Magic,Phoenix Suns,0021600214,87,0.429,0.41,0.322,0.724,47.8,21.8,14.7,6.2,5.8,-7.5,98.1,105.8,0.493,92,0.267,0.445,0.315,0.747,44.5,18.5,15.0,8.6,3.8,-6.1,103.3,109.1,0.526,0,11/23/2016
Houston Rockets,Toronto Raptors,0021600219,102,0.643,0.461,0.371,0.737,45.9,24.9,16.6,7.3,4.9,4.2,111.5,106.9,0.569,115,0.571,0.459,0.331,0.81,44.0,19.1,11.8,9.1,4.2,2.6,110.5,108.1,0.554,0,11/23/2016
Cleveland Cavaliers,Portland Trail Blazers,0021600215,137,0.833,0.445,0.377,0.761,47.5,23.1,13.2,7.1,5.3,7.2,111.4,104.5,0.555,125,0.5,0.448,0.357,0.794,42.3,21.0,14.2,6.5,4.6,-4.0,106.7,110.5,0.552,1,11/23/2016
Detroit Pistons,Miami Heat,0021600218,107,0.4,0.433,0.326,0.761,46.7,21.7,12.3,7.5,4.3,-0.6,102.3,102.8,0.505,84,0.308,0.425,0.339,0.658,48.7,20.7,14.9,8.0,6.7,-1.0,101.4,102.7,0.498,1,11/23/2016
Utah Jazz,Denver Nuggets,0021600221,108,0.467,0.451,0.342,0.763,46.4,19.5,13.6,6.7,5.6,1.0,105.4,103.9,0.545,83,0.429,0.438,0.354,0.753,49.8,21.1,16.6,6.5,4.4,-0.7,105.8,106.8,0.532,1,11/23/2016
Indiana Pacers,Atlanta Hawks,0021600216,85,0.467,0.452,0.355,0.781,42.3,22.8,14.8,9.1,6.4,-3.9,103.2,106.9,0.533,96,0.643,0.472,0.343,0.695,45.3,25.3,17.4,9.6,5.5,5.3,105.5,100.1,0.556,0,11/23/2016
Dallas Mavericks,LA Clippers,0021600220,104,0.154,0.406,0.31,0.789,42.6,17.9,13.7,8.7,4.3,-7.7,96.2,104.0,0.499,124,0.867,0.469,0.384,0.753,44.7,22.4,12.4,9.9,5.1,13.7,112.9,99.1,0.574,0,11/23/2016
