Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Boston Celtics,Philadelphia 76ers,0041900121,109,0.667,0.461,0.364,0.801,45.7,22.8,13.7,8.2,5.6,6.3,112.8,106.5,0.57,101,0.589,0.468,0.368,0.755,45.4,25.8,14.2,8.0,5.3,2.4,110.7,108.4,0.566,1,08/17/2020
LA Clippers,Dallas Mavericks,0041900151,118,0.681,0.466,0.371,0.791,46.4,23.1,14.2,6.9,4.6,6.3,113.3,106.9,0.577,110,0.573,0.461,0.367,0.779,46.5,24.4,12.6,6.1,4.8,4.9,115.9,111.2,0.581,1,08/17/2020
Denver Nuggets,Utah Jazz,0041900161,135,0.63,0.473,0.359,0.777,44.6,27.0,13.9,8.1,4.7,2.1,112.6,110.4,0.567,125,0.611,0.471,0.38,0.779,45.1,22.5,15.2,6.1,4.1,2.5,111.8,109.3,0.585,1,08/17/2020
Toronto Raptors,Brooklyn Nets,0041900111,134,0.736,0.458,0.374,0.796,44.6,24.8,14.6,8.7,4.9,6.1,110.8,104.7,0.574,110,0.486,0.448,0.343,0.745,46.6,23.8,14.8,6.3,4.4,-0.6,108.7,109.2,0.554,1,08/17/2020
Houston Rockets,Los Angeles Lakers,0041900171,123,0.611,0.451,0.345,0.791,42.3,20.7,14.0,8.3,4.9,2.8,112.5,109.8,0.578,93,0.732,0.48,0.349,0.729,45.0,25.0,14.9,8.5,6.5,5.7,111.7,106.1,0.573,1,08/18/2020
Milwaukee Bucks,Miami Heat,0041900101,110,0.767,0.476,0.355,0.742,48.8,24.4,14.2,6.8,5.5,9.5,111.9,102.5,0.583,113,0.603,0.468,0.379,0.783,44.3,25.9,14.9,7.5,4.5,2.9,111.9,109.3,0.587,0,08/18/2020
Indiana Pacers,Orlando Magic,0041900131,101,0.616,0.476,0.363,0.787,42.8,25.9,13.2,7.4,5.2,2.0,109.5,107.5,0.565,122,0.452,0.444,0.343,0.774,44.8,24.1,12.9,8.3,5.5,-1.0,107.9,109.2,0.544,0,08/18/2020
Oklahoma City Thunder,Portland Trail Blazers,0041900171,108,0.611,0.468,0.355,0.796,42.8,21.6,13.7,7.6,4.9,2.0,110.1,108.1,0.573,100,0.473,0.463,0.377,0.804,44.6,20.3,12.6,6.2,6.0,-1.1,113.2,114.3,0.57,0,08/18/2020
Boston Celtics,Philadelphia 76ers,0041900122,128,0.667,0.461,0.364,0.801,45.7,22.8,13.7,8.2,5.6,6.3,112.8,106.5,0.57,101,0.589,0.468,0.368,0.755,45.4,25.8,14.2,8.0,5.3,2.4,110.7,108.4,0.566,1,08/19/2020
LA Clippers,Dallas Mavericks,0041900152,114,0.681,0.466,0.371,0.791,46.4,23.1,14.2,6.9,4.6,6.3,113.3,106.9,0.577,127,0.573,0.461,0.367,0.779,46.5,24.4,12.6,6.1,4.8,4.9,115.9,111.2,0.581,0,08/19/2020
Denver Nuggets,Utah Jazz,0041900162,105,0.63,0.473,0.359,0.777,44.6,27.0,13.9,8.1,4.7,2.1,112.6,110.4,0.567,124,0.611,0.471,0.38,0.779,45.1,22.5,15.2,6.1,4.1,2.5,111.8,109.3,0.585,0,08/19/2020
