H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.0,0.435,0.268,0.696,42.5,17.3,15.7,9.0,2.9,-10.9,95.5,106.7,0.508,0.5,0.465,0.38,0.802,38.4,20.8,14.7,7.5,4.6,-4.8,105.8,110.9,0.567,1,0.0,0.1,1475.6324413284165,1485.0983005952207
0.333,0.43,0.314,0.703,42.9,20.1,14.6,5.4,6.5,-11.9,98.0,110.2,0.511,0.5,0.471,0.368,0.721,41.3,24.9,15.1,6.8,2.1,-1.3,112.5,113.8,0.581,0,0.1,0.2,1497.7025460273162,1506.4717959905042
1.0,0.437,0.278,0.731,47.0,16.7,12.3,8.7,4.0,13.0,106.0,92.7,0.53,1.0,0.435,0.29,0.753,48.6,19.1,16.3,10.3,3.8,8.2,103.1,94.4,0.513,0,0.2,0.2,1521.1997058249815,1515.7164366897673
0.75,0.486,0.293,0.814,41.2,28.5,14.9,9.4,4.1,1.9,109.1,107.5,0.579,1.0,0.428,0.281,0.723,49.3,17.9,17.6,9.8,3.8,6.7,98.6,91.5,0.501,1,0.3,0.3,1540.3489552857368,1521.59435828451
0.25,0.407,0.289,0.699,47.1,23.8,13.5,6.9,4.8,-11.1,100.5,111.3,0.478,0.4,0.447,0.319,0.785,42.4,22.5,16.1,6.7,4.2,-1.9,105.2,108.5,0.543,1,0.1,0.1,1484.1806783342104,1486.510632077611
1.0,0.456,0.382,0.765,45.3,23.0,13.6,8.2,4.1,11.8,113.6,101.8,0.571,0.75,0.498,0.407,0.684,41.7,28.2,14.2,8.4,6.4,3.1,109.9,107.1,0.589,1,0.3,0.2,1519.6718848520284,1517.09242468234
0.5,0.441,0.287,0.823,45.5,25.4,12.7,9.4,4.8,-5.1,103.3,108.1,0.517,0.5,0.459,0.382,0.761,42.5,25.2,14.2,8.7,6.5,-2.4,105.8,108.7,0.541,1,0.2,0.1,1500.899127991425,1487.5841667506982
0.333,0.496,0.417,0.723,47.3,24.5,16.6,7.9,5.4,10.5,114.4,102.1,0.586,0.333,0.409,0.333,0.776,51.9,16.0,15.7,6.0,5.7,0.0,101.3,101.6,0.518,0,0.1,0.0,1516.09422708505,1489.7089307995418
0.0,0.476,0.255,0.761,39.2,22.0,18.2,10.1,4.4,-11.5,103.0,112.6,0.542,0.75,0.475,0.361,0.692,44.9,28.3,16.0,11.3,5.3,12.8,110.3,97.5,0.566,1,0.0,0.2,1479.7626751922828,1523.446937193195
0.0,0.415,0.26,0.769,40.9,22.0,13.7,9.8,5.6,-8.1,94.8,103.1,0.497,0.2,0.433,0.276,0.724,44.7,16.5,14.6,9.0,3.2,-8.1,97.6,105.6,0.508,0,0.0,0.1,1463.901786300352,1480.3097762075013
