Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
San Antonio Spurs,Denver Nuggets,0021600762,121,0.776,0.477,0.407,0.809,45.2,25.1,13.6,8.4,6.1,8.8,111.9,103.2,0.574,97,0.449,0.461,0.364,0.763,46.8,24.4,15.4,6.8,4.2,-1.1,110.8,112.2,0.558,1,02/04/2017
New York Knicks,Cleveland Cavaliers,0021600759,104,0.431,0.443,0.356,0.783,47.3,22.0,14.4,7.3,5.9,-2.7,107.3,110.1,0.531,111,0.688,0.458,0.383,0.746,45.2,22.6,14.2,7.6,4.2,5.2,112.3,107.2,0.569,0,02/04/2017
Phoenix Suns,Milwaukee Bucks,0021600761,112,0.32,0.448,0.346,0.784,44.1,18.1,15.5,8.3,4.2,-5.6,105.8,111.2,0.54,137,0.429,0.472,0.368,0.759,43.6,25.4,14.8,8.5,5.8,-0.4,108.1,108.6,0.56,0,02/04/2017
Miami Heat,Philadelphia 76ers,0021600758,125,0.4,0.446,0.353,0.679,45.5,22.0,13.7,7.4,5.8,-2.1,104.3,106.5,0.526,102,0.367,0.439,0.354,0.76,43.2,23.8,17.2,8.1,5.7,-5.6,101.5,107.0,0.537,1,02/04/2017
Utah Jazz,Charlotte Hornets,0021600760,105,0.62,0.462,0.362,0.755,46.4,21.0,14.8,7.2,5.4,4.4,108.1,103.5,0.562,98,0.46,0.441,0.353,0.804,46.3,24.1,12.3,6.7,5.2,0.9,108.0,107.3,0.544,1,02/04/2017
Indiana Pacers,Detroit Pistons,0021600757,105,0.551,0.465,0.369,0.818,42.0,22.6,14.4,8.8,5.4,-0.3,106.7,106.8,0.558,84,0.46,0.456,0.341,0.735,46.1,22.2,12.6,7.5,3.9,-0.5,105.9,106.6,0.531,1,02/04/2017
Atlanta Hawks,Orlando Magic,0021600756,113,0.58,0.454,0.344,0.726,44.6,24.4,15.7,8.6,5.0,-0.6,105.1,105.6,0.541,86,0.385,0.442,0.334,0.718,44.5,23.1,13.6,7.1,5.3,-5.6,103.7,109.1,0.523,1,02/04/2017
Sacramento Kings,Golden State Warriors,0021600764,109,0.38,0.454,0.362,0.775,42.4,23.3,14.8,8.4,4.2,-3.2,107.3,110.9,0.553,106,0.86,0.501,0.388,0.791,44.4,30.6,14.7,9.2,6.3,12.9,116.1,103.4,0.605,1,02/04/2017
Minnesota Timberwolves,Memphis Grizzlies,0021600763,99,0.38,0.461,0.352,0.785,44.5,24.3,15.3,7.8,5.0,-1.3,108.5,109.4,0.55,107,0.577,0.432,0.354,0.783,45.7,22.0,13.5,9.0,4.8,0.9,106.2,105.3,0.531,0,02/04/2017
Washington Wizards,New Orleans Pelicans,0021600755,105,0.592,0.476,0.369,0.783,43.9,24.0,14.7,8.7,4.1,2.1,109.3,107.3,0.561,91,0.38,0.442,0.357,0.746,44.4,22.9,12.7,7.7,6.0,-3.1,103.4,106.6,0.532,1,02/04/2017
