Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Houston Rockets,Indiana Pacers,0022101053,118,0.246,0.454,0.345,0.707,41.4,22.9,16.4,7.2,4.4,-9.3,107.3,116.5,0.561,121,0.329,0.46,0.34,0.761,45.0,24.8,14.6,6.8,5.7,-2.8,111.0,113.8,0.559,0,03/18/2022
San Antonio Spurs,New Orleans Pelicans,0022101054,91,0.386,0.468,0.352,0.744,44.7,27.7,12.6,7.5,5.0,-0.5,111.4,111.8,0.554,124,0.406,0.454,0.33,0.783,46.1,25.5,14.6,8.0,4.2,-1.9,110.1,111.7,0.554,0,03/18/2022
Utah Jazz,LA Clippers,0022101055,121,0.623,0.472,0.365,0.776,47.2,22.9,14.5,7.3,5.0,6.5,116.1,109.8,0.592,92,0.5,0.455,0.366,0.786,44.6,23.9,14.1,7.5,4.8,-0.8,108.0,108.9,0.558,1,03/18/2022
Sacramento Kings,Boston Celtics,0022101057,97,0.352,0.459,0.343,0.768,43.0,23.4,14.0,7.2,4.5,-5.1,109.8,114.7,0.56,126,0.6,0.456,0.343,0.816,47.2,24.4,13.9,7.3,6.1,5.9,111.4,105.5,0.566,0,03/18/2022
Phoenix Suns,Chicago Bulls,0022101056,129,0.8,0.485,0.365,0.798,45.4,27.4,12.8,8.5,4.4,8.2,114.3,106.0,0.581,102,0.594,0.482,0.373,0.816,43.1,24.3,13.1,7.2,4.4,1.2,112.8,111.8,0.582,1,03/18/2022
Minnesota Timberwolves,Milwaukee Bucks,0022101058,138,0.577,0.454,0.354,0.775,43.9,25.0,14.3,8.6,5.7,3.3,113.2,109.7,0.569,119,0.629,0.464,0.368,0.774,46.4,23.4,13.3,7.6,3.9,3.9,113.9,110.1,0.579,1,03/19/2022
Charlotte Hornets,Dallas Mavericks,0022101059,129,0.5,0.462,0.361,0.738,44.0,26.9,13.0,8.6,4.8,0.1,112.6,112.4,0.566,108,0.614,0.456,0.344,0.765,44.9,24.2,13.0,7.2,4.3,3.0,111.2,108.1,0.563,1,03/19/2022
Cleveland Cavaliers,Detroit Pistons,0022101060,113,0.571,0.466,0.351,0.762,45.9,26.0,15.1,7.4,4.4,3.1,110.3,107.4,0.568,109,0.271,0.427,0.326,0.775,43.4,23.2,14.3,7.6,4.8,-8.6,104.7,113.2,0.529,1,03/19/2022
Washington Wizards,Los Angeles Lakers,0022101061,127,0.42,0.468,0.339,0.783,43.9,24.9,13.5,6.4,5.1,-3.3,109.9,113.1,0.565,119,0.429,0.465,0.349,0.727,43.3,23.5,14.5,7.7,5.4,-2.7,108.9,111.5,0.562,1,03/19/2022
Atlanta Hawks,New Orleans Pelicans,0022101064,112,0.5,0.467,0.371,0.81,44.6,24.8,12.0,7.1,4.5,0.9,114.6,113.7,0.576,117,0.414,0.455,0.331,0.783,46.3,25.5,14.5,8.1,4.2,-1.4,110.3,111.4,0.555,0,03/20/2022
