Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Los Angeles Lakers,Milwaukee Bucks,0021500370,113,0.125,0.412,0.324,0.779,43.7,18.5,14.9,7.6,4.8,-10.4,98.8,109.2,0.507,95,0.4,0.447,0.357,0.785,42.3,24.4,16.2,8.2,5.1,-6.0,100.4,106.7,0.528,1,12/15/2015
Boston Celtics,Cleveland Cavaliers,0021500367,77,0.583,0.435,0.332,0.782,43.8,24.8,15.3,10.6,4.8,4.9,103.5,98.3,0.526,89,0.682,0.456,0.361,0.719,47.4,24.0,15.5,6.8,3.9,5.6,107.2,101.6,0.55,0,12/15/2015
Sacramento Kings,Houston Rockets,0021500369,107,0.375,0.453,0.363,0.726,44.0,24.1,16.2,8.1,3.9,-3.2,104.3,107.4,0.536,97,0.48,0.435,0.342,0.722,43.1,21.4,16.8,10.6,5.4,-2.7,104.3,107.2,0.541,1,12/15/2015
Minnesota Timberwolves,Denver Nuggets,0021500368,100,0.391,0.447,0.337,0.805,45.0,21.1,15.6,6.9,4.9,-1.1,103.4,104.2,0.538,112,0.417,0.428,0.336,0.751,46.2,22.8,16.1,7.6,5.0,-5.4,100.6,106.3,0.516,0,12/15/2015
Golden State Warriors,Phoenix Suns,0021500381,128,0.96,0.487,0.425,0.747,46.5,28.3,15.8,8.3,6.7,12.9,113.7,100.9,0.593,103,0.423,0.45,0.381,0.743,44.0,20.8,16.7,9.2,4.4,-0.2,104.9,104.8,0.543,1,12/16/2015
San Antonio Spurs,Washington Wizards,0021500379,114,0.808,0.481,0.371,0.782,48.8,26.4,15.1,8.7,6.0,13.8,106.4,92.8,0.557,95,0.435,0.448,0.354,0.747,40.8,22.7,16.0,8.9,3.5,-4.1,101.9,105.8,0.539,1,12/16/2015
Chicago Bulls,Memphis Grizzlies,0021500377,98,0.636,0.424,0.366,0.76,49.5,22.9,14.5,6.7,6.2,1.4,100.1,98.8,0.51,85,0.538,0.432,0.32,0.826,42.8,21.8,14.7,8.9,4.2,-4.6,101.2,106.0,0.521,1,12/16/2015
New York Knicks,Minnesota Timberwolves,0021500375,107,0.44,0.425,0.337,0.805,46.2,20.7,15.0,6.8,5.7,-2.0,102.2,104.0,0.517,102,0.375,0.447,0.338,0.803,44.6,21.2,15.4,6.9,5.0,-1.6,103.7,105.0,0.539,1,12/16/2015
Brooklyn Nets,Miami Heat,0021500373,98,0.292,0.446,0.307,0.761,45.8,21.3,16.1,8.4,4.2,-6.8,98.4,104.9,0.51,104,0.609,0.458,0.315,0.725,46.4,21.0,15.5,7.0,7.7,2.3,101.8,99.3,0.536,0,12/16/2015
LA Clippers,Milwaukee Bucks,0021500382,103,0.6,0.455,0.336,0.675,43.7,23.2,13.7,7.2,5.4,1.7,104.2,102.2,0.538,90,0.385,0.448,0.356,0.777,42.3,24.4,16.1,8.2,5.2,-6.5,100.4,107.2,0.527,1,12/16/2015
Orlando Magic,Charlotte Hornets,0021500372,113,0.542,0.439,0.347,0.769,46.4,22.5,15.5,8.5,5.7,1.6,102.3,100.7,0.519,98,0.609,0.445,0.357,0.767,45.2,22.1,12.7,7.1,6.0,4.8,105.0,100.4,0.543,1,12/16/2015
Detroit Pistons,Boston Celtics,0021500374,119,0.538,0.423,0.323,0.662,48.5,18.6,14.6,8.7,3.5,1.7,101.3,100.3,0.501,116,0.56,0.43,0.33,0.784,43.9,24.7,15.2,10.5,4.9,4.3,102.8,98.3,0.521,1,12/16/2015
Utah Jazz,New Orleans Pelicans,0021500380,94,0.435,0.438,0.363,0.738,45.9,19.7,15.8,9.1,5.2,-0.4,104.2,104.2,0.524,104,0.25,0.443,0.352,0.783,42.6,21.9,14.1,7.5,4.9,-6.7,102.8,109.3,0.534,0,12/16/2015
Indiana Pacers,Dallas Mavericks,0021500371,107,0.609,0.444,0.389,0.756,44.0,20.6,15.4,9.2,4.2,4.2,104.9,100.6,0.54,81,0.56,0.442,0.328,0.787,45.1,21.9,13.9,7.4,3.6,1.0,103.4,102.5,0.54,1,12/16/2015
Atlanta Hawks,Philadelphia 76ers,0021500376,127,0.538,0.45,0.341,0.798,42.6,25.9,15.3,9.7,5.7,-0.1,103.2,103.0,0.544,106,0.038,0.412,0.32,0.701,43.1,19.3,18.5,8.2,7.0,-13.1,92.9,105.7,0.499,1,12/16/2015
Oklahoma City Thunder,Portland Trail Blazers,0021500378,106,0.667,0.469,0.366,0.794,48.5,21.6,16.4,7.7,6.8,7.0,109.0,102.2,0.559,90,0.423,0.448,0.358,0.731,46.9,21.5,15.7,6.5,4.3,0.1,105.2,105.4,0.539,1,12/16/2015
