Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
San Antonio Spurs,Miami Heat,0021600150,94,0.7,0.447,0.386,0.856,46.2,22.6,12.3,8.7,6.3,5.6,109.2,103.3,0.552,90,0.25,0.423,0.363,0.685,46.4,21.4,14.2,7.2,6.2,-3.1,100.1,103.7,0.502,1,11/14/2016
New York Knicks,Dallas Mavericks,0021600146,93,0.333,0.447,0.338,0.746,44.6,21.5,14.9,7.0,5.6,-8.0,103.6,112.5,0.526,77,0.25,0.421,0.315,0.816,43.0,19.5,12.7,9.0,3.6,-5.5,100.9,106.4,0.518,1,11/14/2016
LA Clippers,Brooklyn Nets,0021600152,127,0.9,0.454,0.357,0.73,46.8,21.5,12.3,9.9,5.1,15.4,109.3,93.9,0.55,95,0.444,0.446,0.331,0.814,44.9,20.2,16.9,8.7,4.5,-1.2,103.6,105.0,0.557,1,11/14/2016
Houston Rockets,Philadelphia 76ers,0021600149,115,0.556,0.462,0.365,0.751,43.9,24.9,17.8,7.6,4.3,0.3,110.2,109.5,0.575,88,0.111,0.431,0.352,0.709,42.6,21.4,17.8,8.1,5.8,-11.8,96.3,108.5,0.519,1,11/14/2016
Detroit Pistons,Oklahoma City Thunder,0021600147,104,0.5,0.439,0.316,0.756,46.6,21.0,13.1,8.4,4.2,0.7,102.7,101.9,0.511,88,0.6,0.444,0.348,0.724,46.2,20.4,16.9,7.9,4.8,2.0,104.7,102.5,0.529,1,11/14/2016
Utah Jazz,Memphis Grizzlies,0021600151,96,0.636,0.456,0.359,0.755,46.2,20.1,13.9,7.4,6.1,5.0,106.8,101.0,0.551,102,0.444,0.416,0.316,0.775,42.8,20.9,16.0,9.4,5.4,-5.7,100.3,106.3,0.514,0,11/14/2016
Indiana Pacers,Orlando Magic,0021600145,88,0.4,0.467,0.36,0.77,41.2,24.4,15.0,9.6,6.1,-3.5,106.3,109.7,0.549,69,0.4,0.419,0.328,0.716,45.5,23.6,12.9,6.2,5.6,-9.8,102.0,111.9,0.501,1,11/14/2016
New Orleans Pelicans,Boston Celtics,0021600148,106,0.1,0.434,0.288,0.758,42.2,23.0,13.0,8.3,6.3,-8.1,100.2,107.9,0.515,105,0.556,0.465,0.372,0.747,42.2,26.4,13.2,7.7,5.5,-0.1,110.2,110.4,0.563,1,11/14/2016
Los Angeles Lakers,Brooklyn Nets,0021600157,125,0.545,0.475,0.347,0.817,43.4,21.1,17.2,8.6,4.3,1.1,108.4,107.6,0.571,118,0.4,0.446,0.328,0.81,44.2,20.0,17.4,8.4,4.3,-4.2,102.8,107.4,0.557,1,11/15/2016
Cleveland Cavaliers,Toronto Raptors,0021600153,121,0.889,0.436,0.371,0.771,46.3,22.6,12.2,8.2,4.8,7.6,112.1,104.7,0.551,117,0.778,0.46,0.29,0.816,45.6,18.9,11.8,9.4,4.8,6.4,110.1,103.8,0.548,1,11/15/2016
Miami Heat,Atlanta Hawks,0021600154,90,0.222,0.425,0.356,0.672,46.1,21.6,14.1,8.1,6.4,-3.3,99.6,103.3,0.5,93,0.778,0.482,0.363,0.682,46.4,26.6,17.7,10.3,5.2,10.6,109.0,98.5,0.566,0,11/15/2016
Portland Trail Blazers,Chicago Bulls,0021600156,88,0.636,0.453,0.366,0.797,40.4,21.3,14.3,7.1,4.8,-2.3,106.6,108.9,0.559,113,0.6,0.446,0.355,0.823,50.1,23.8,14.6,8.0,4.9,5.7,111.3,105.0,0.538,0,11/15/2016
Minnesota Timberwolves,Charlotte Hornets,0021600155,108,0.333,0.464,0.418,0.736,44.5,23.3,14.6,8.9,4.9,2.9,112.6,108.5,0.561,115,0.667,0.43,0.349,0.772,47.5,24.9,11.0,7.6,5.2,5.7,108.0,102.8,0.535,0,11/15/2016
Philadelphia 76ers,Washington Wizards,0021600158,109,0.1,0.425,0.342,0.724,42.3,21.1,17.3,8.3,5.9,-13.3,95.7,109.4,0.512,102,0.222,0.442,0.31,0.791,46.6,19.9,16.0,8.3,5.2,-4.4,103.5,107.2,0.518,1,11/16/2016
New York Knicks,Detroit Pistons,0021600162,105,0.4,0.446,0.341,0.758,45.8,21.4,15.3,6.9,5.6,-5.6,103.7,110.1,0.527,102,0.545,0.442,0.316,0.76,46.7,21.4,12.9,8.0,4.7,2.2,103.0,100.7,0.513,1,11/16/2016
Boston Celtics,Dallas Mavericks,0021600161,90,0.5,0.458,0.361,0.755,42.2,25.5,13.1,7.8,5.0,-0.2,109.3,109.6,0.557,83,0.222,0.417,0.302,0.81,43.2,19.2,12.9,9.0,4.1,-6.8,99.4,106.2,0.509,1,11/16/2016
LA Clippers,Memphis Grizzlies,0021600167,107,0.909,0.461,0.375,0.735,46.5,22.5,12.3,10.6,5.2,17.0,111.1,94.1,0.559,111,0.5,0.421,0.322,0.782,43.5,20.4,16.2,9.0,5.1,-4.6,102.0,106.8,0.52,0,11/16/2016
Orlando Magic,New Orleans Pelicans,0021600159,89,0.364,0.41,0.317,0.719,46.4,22.6,13.3,6.0,5.6,-10.7,99.4,110.1,0.491,82,0.182,0.435,0.287,0.768,42.5,22.4,13.3,8.3,6.1,-7.3,100.4,107.3,0.519,1,11/16/2016
Indiana Pacers,Cleveland Cavaliers,0021600160,103,0.455,0.46,0.356,0.78,42.1,24.3,14.5,9.6,6.4,-1.5,105.1,106.6,0.542,93,0.9,0.445,0.373,0.765,46.4,23.0,12.7,7.8,5.0,7.3,113.2,106.0,0.559,1,11/16/2016
Atlanta Hawks,Milwaukee Bucks,0021600163,107,0.8,0.48,0.363,0.682,45.4,25.8,18.0,10.7,5.1,9.9,107.6,97.8,0.563,100,0.556,0.461,0.33,0.801,46.0,24.5,15.8,9.4,5.3,1.9,105.8,103.7,0.549,1,11/16/2016
Sacramento Kings,San Antonio Spurs,0021600168,105,0.364,0.446,0.331,0.773,43.5,22.3,15.0,7.5,3.8,-4.0,104.9,109.9,0.537,110,0.727,0.443,0.396,0.844,47.0,22.9,12.9,8.3,6.4,5.5,108.4,102.6,0.547,0,11/16/2016
Denver Nuggets,Phoenix Suns,0021600166,120,0.3,0.426,0.356,0.77,48.4,18.6,18.0,6.6,4.5,-4.1,103.3,107.8,0.528,104,0.273,0.441,0.298,0.765,44.7,18.4,14.7,8.5,3.0,-6.9,102.4,108.9,0.525,1,11/16/2016
Toronto Raptors,Golden State Warriors,0021600165,121,0.7,0.462,0.31,0.805,45.1,19.5,11.5,9.6,4.8,5.3,110.9,105.8,0.549,127,0.8,0.504,0.375,0.802,41.5,30.0,15.6,9.9,5.5,8.1,114.3,106.7,0.607,0,11/16/2016
Oklahoma City Thunder,Houston Rockets,0021600164,105,0.545,0.438,0.332,0.728,46.7,20.0,16.8,7.5,4.9,0.4,103.3,102.7,0.522,103,0.6,0.464,0.372,0.739,45.2,24.5,17.9,7.4,4.9,3.1,111.0,107.5,0.576,1,11/16/2016
Houston Rockets,Portland Trail Blazers,0021600171,126,0.545,0.461,0.369,0.733,45.3,24.5,17.7,7.6,4.9,2.6,110.2,107.1,0.571,109,0.583,0.444,0.356,0.785,41.1,21.0,14.0,7.2,4.8,-4.2,105.2,109.2,0.548,1,11/17/2016
Miami Heat,Milwaukee Bucks,0021600170,96,0.2,0.423,0.351,0.68,46.4,20.7,15.1,8.4,6.5,-3.2,98.8,102.4,0.497,73,0.5,0.454,0.32,0.799,46.1,24.6,15.7,9.3,5.0,1.0,105.1,104.1,0.541,1,11/17/2016
Utah Jazz,Chicago Bulls,0021600173,77,0.583,0.457,0.352,0.76,45.2,20.1,13.6,7.5,5.7,4.0,107.1,102.4,0.553,85,0.636,0.443,0.355,0.827,51.7,23.1,14.1,7.9,4.8,7.5,111.5,103.5,0.536,0,11/17/2016
