Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Golden State Warriors,New Orleans Pelicans,0041700151,113,0.707,0.503,0.391,0.815,43.2,29.1,15.3,8.0,7.4,5.9,112.8,106.8,0.603,97,0.585,0.483,0.362,0.772,43.1,26.0,14.5,7.8,5.7,1.3,108.5,107.4,0.573,1,04/14/2018
Philadelphia 76ers,Miami Heat,0041700121,130,0.634,0.472,0.369,0.752,46.9,26.8,16.3,8.2,5.1,4.4,108.5,103.9,0.568,103,0.537,0.455,0.36,0.755,44.6,23.3,14.8,7.8,5.5,0.5,106.2,105.8,0.551,1,04/14/2018
Portland Trail Blazers,San Antonio Spurs,0041700161,95,0.598,0.452,0.366,0.8,46.6,20.0,13.9,7.2,5.3,2.7,108.4,105.7,0.549,92,0.573,0.457,0.352,0.772,46.1,23.7,13.7,8.0,5.8,3.0,107.1,104.1,0.543,0,04/14/2018
Toronto Raptors,Washington Wizards,0041700101,114,0.72,0.472,0.358,0.794,44.5,24.6,13.5,7.7,6.2,7.9,113.0,105.3,0.575,106,0.524,0.467,0.375,0.772,43.7,25.5,14.8,8.0,4.4,0.6,108.1,107.7,0.56,1,04/14/2018
Boston Celtics,Cleveland Cavaliers,0041700111,113,0.671,0.45,0.377,0.771,45.6,23.1,14.4,7.6,4.7,3.7,106.8,103.2,0.552,80,0.61,0.476,0.372,0.779,42.6,23.6,13.9,7.2,3.8,0.9,112.0,111.1,0.584,1,04/15/2018
Houston Rockets,Milwaukee Bucks,0041700141,104,0.793,0.46,0.362,0.781,44.1,21.9,14.1,8.7,4.9,8.6,114.1,105.7,0.59,107,0.537,0.478,0.355,0.783,40.8,23.8,14.2,9.0,5.5,-0.3,109.0,109.1,0.571,1,04/15/2018
Indiana Pacers,Minnesota Timberwolves,0041700131,98,0.585,0.472,0.369,0.779,43.5,22.8,13.6,9.0,4.3,1.4,108.5,107.3,0.557,101,0.573,0.476,0.357,0.804,43.1,23.3,12.8,8.6,4.3,2.3,112.5,110.2,0.566,1,04/15/2018
Oklahoma City Thunder,Utah Jazz,0041700171,116,0.585,0.453,0.354,0.716,46.0,21.8,14.3,9.2,5.1,3.5,110.1,106.4,0.546,108,0.585,0.462,0.366,0.779,44.6,23.1,15.2,8.9,5.3,4.4,107.4,103.0,0.564,1,04/15/2018
Golden State Warriors,Miami Heat,0041700152,116,0.707,0.503,0.391,0.815,43.2,29.1,15.3,8.0,7.4,5.9,112.8,106.8,0.603,113,0.537,0.455,0.36,0.755,44.6,23.3,14.8,7.8,5.5,0.5,106.2,105.8,0.551,1,04/16/2018
Philadelphia 76ers,San Antonio Spurs,0041700122,103,0.634,0.472,0.369,0.752,46.9,26.8,16.3,8.2,5.1,4.4,108.5,103.9,0.568,101,0.573,0.457,0.352,0.772,46.1,23.7,13.7,8.0,5.8,3.0,107.1,104.1,0.543,0,04/16/2018
