Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Los Angeles Lakers,Detroit Pistons,0021500151,97,0.111,0.41,0.317,0.787,43.8,19.2,15.3,7.2,6.3,-6.9,100.7,107.8,0.514,85,0.556,0.424,0.311,0.644,49.0,16.7,15.9,8.1,3.4,0.7,99.5,99.7,0.5,1,11/15/2015
New York Knicks,New Orleans Pelicans,0021500145,95,0.4,0.42,0.317,0.819,48.2,20.7,14.9,7.4,5.4,-0.8,103.0,103.5,0.51,87,0.111,0.434,0.361,0.754,40.7,21.9,14.4,8.1,4.4,-9.3,101.7,110.6,0.525,1,11/15/2015
Atlanta Hawks,Utah Jazz,0021500148,96,0.727,0.47,0.357,0.806,41.2,27.3,15.2,10.3,5.0,2.8,105.7,102.4,0.561,97,0.444,0.422,0.363,0.745,46.0,19.7,14.4,10.3,6.8,4.3,101.8,97.4,0.506,0,11/15/2015
Sacramento Kings,Toronto Raptors,0021500150,107,0.3,0.445,0.382,0.686,44.1,23.0,16.5,9.0,3.2,-5.0,101.9,106.5,0.522,101,0.7,0.433,0.328,0.801,49.6,19.8,15.8,9.2,4.7,6.3,106.4,100.4,0.535,1,11/15/2015
Minnesota Timberwolves,Memphis Grizzlies,0021500146,106,0.444,0.454,0.348,0.789,45.3,21.8,15.9,6.7,4.1,-0.7,103.4,103.3,0.54,114,0.4,0.401,0.268,0.801,43.6,21.6,14.4,9.1,4.0,-9.8,96.1,106.2,0.487,0,11/15/2015
Charlotte Hornets,Portland Trail Blazers,0021500147,106,0.444,0.436,0.368,0.764,44.2,21.2,12.0,7.6,5.0,1.1,103.7,102.7,0.532,94,0.4,0.465,0.372,0.691,45.0,21.0,16.4,6.0,4.9,-0.5,106.2,106.7,0.554,1,11/15/2015
Oklahoma City Thunder,Boston Celtics,0021500149,85,0.667,0.477,0.394,0.794,49.5,22.6,16.6,7.4,7.9,8.5,110.4,102.0,0.565,100,0.5,0.416,0.291,0.816,44.5,23.0,15.8,11.2,5.1,4.4,101.4,96.5,0.51,0,11/15/2015
Philadelphia 76ers,Dallas Mavericks,0021500152,86,0.0,0.412,0.324,0.706,43.6,20.4,17.7,6.9,6.7,-13.9,94.1,107.8,0.494,92,0.6,0.437,0.313,0.781,46.6,21.9,12.6,6.1,3.4,0.9,102.4,101.8,0.528,0,11/16/2015
San Antonio Spurs,Portland Trail Blazers,0021500156,93,0.778,0.485,0.343,0.788,47.9,26.0,15.9,8.5,5.7,10.8,104.9,94.5,0.555,80,0.364,0.458,0.362,0.709,45.3,21.0,16.0,5.9,4.8,-1.6,105.5,107.1,0.546,1,11/16/2015
Chicago Bulls,Indiana Pacers,0021500153,96,0.667,0.432,0.372,0.761,47.2,21.5,14.4,6.1,6.4,2.0,100.7,98.5,0.521,95,0.6,0.434,0.361,0.725,43.8,21.5,16.0,9.7,4.6,0.4,100.5,99.9,0.519,1,11/16/2015
Phoenix Suns,Los Angeles Lakers,0021500157,120,0.556,0.44,0.379,0.718,47.4,18.7,17.6,8.5,3.2,4.0,102.4,98.1,0.53,101,0.2,0.41,0.317,0.781,44.1,19.8,15.4,7.0,6.2,-5.0,100.5,105.6,0.515,1,11/16/2015
Houston Rockets,Boston Celtics,0021500154,95,0.4,0.423,0.284,0.741,43.3,21.1,16.1,9.4,5.7,-6.9,101.3,108.2,0.521,111,0.556,0.422,0.301,0.8,45.0,23.4,16.1,11.4,5.3,5.6,101.8,95.9,0.514,0,11/16/2015
Memphis Grizzlies,Oklahoma City Thunder,0021500155,122,0.455,0.414,0.291,0.813,42.9,21.6,14.6,8.9,4.2,-8.1,98.3,106.7,0.503,114,0.6,0.467,0.377,0.794,48.2,22.3,16.8,7.7,7.8,6.3,108.5,102.3,0.556,1,11/16/2015
Golden State Warriors,Toronto Raptors,0021500164,115,1.0,0.476,0.402,0.771,45.1,28.9,14.9,9.4,6.2,15.9,111.8,96.4,0.577,110,0.636,0.433,0.349,0.798,48.4,19.7,15.9,9.5,4.3,5.1,106.0,101.3,0.535,1,11/17/2015
New York Knicks,Charlotte Hornets,0021500162,102,0.455,0.421,0.31,0.817,47.9,20.6,14.4,7.5,5.3,0.0,102.9,102.7,0.508,94,0.5,0.442,0.359,0.766,43.7,22.1,12.0,7.5,5.5,2.3,104.4,102.4,0.536,1,11/17/2015
Brooklyn Nets,Atlanta Hawks,0021500159,90,0.1,0.435,0.265,0.772,46.6,22.0,15.5,7.6,5.2,-9.2,98.1,106.7,0.496,88,0.667,0.471,0.358,0.807,40.8,27.4,15.3,10.3,5.1,2.5,105.7,102.7,0.562,1,11/17/2015
Miami Heat,Minnesota Timberwolves,0021500161,91,0.667,0.458,0.331,0.759,47.2,20.2,14.9,7.4,7.8,6.7,102.5,95.8,0.537,103,0.4,0.459,0.344,0.798,44.2,21.7,15.6,7.1,3.9,-1.4,104.1,104.9,0.544,0,11/17/2015
Detroit Pistons,Cleveland Cavaliers,0021500160,104,0.5,0.418,0.306,0.637,48.8,16.7,15.5,8.0,3.3,-0.6,98.2,99.6,0.491,99,0.8,0.455,0.338,0.694,49.3,24.9,15.3,6.3,4.5,7.5,106.7,99.7,0.541,1,11/17/2015
Washington Wizards,Milwaukee Bucks,0021500158,115,0.5,0.443,0.337,0.769,41.4,22.3,16.7,8.6,5.1,-5.9,101.0,106.9,0.537,86,0.5,0.444,0.362,0.818,41.2,23.9,16.1,7.7,5.4,-3.9,102.8,107.5,0.536,1,11/17/2015
New Orleans Pelicans,Denver Nuggets,0021500163,98,0.1,0.435,0.355,0.767,40.5,21.5,14.9,7.9,4.5,-9.3,100.9,109.8,0.527,115,0.5,0.428,0.321,0.742,45.4,22.0,16.2,8.1,5.9,-4.8,100.5,105.6,0.514,0,11/17/2015
Philadelphia 76ers,Indiana Pacers,0021500167,85,0.0,0.415,0.315,0.702,43.8,19.9,18.5,7.1,6.5,-13.2,93.3,106.2,0.495,112,0.545,0.431,0.367,0.719,44.5,21.3,15.8,9.2,4.6,0.3,100.3,99.8,0.516,0,11/18/2015
San Antonio Spurs,Denver Nuggets,0021500172,109,0.8,0.479,0.339,0.787,48.4,26.6,15.1,8.7,6.2,11.2,104.9,94.1,0.549,98,0.545,0.437,0.341,0.743,45.6,22.6,16.1,7.9,6.0,-2.8,102.7,105.9,0.525,1,11/18/2015
Phoenix Suns,Chicago Bulls,0021500174,97,0.6,0.445,0.377,0.722,47.8,19.2,17.0,9.0,3.5,5.5,104.4,98.6,0.535,103,0.7,0.43,0.373,0.742,47.4,22.0,13.8,6.4,6.7,1.9,100.5,98.4,0.517,0,11/18/2015
Boston Celtics,Dallas Mavericks,0021500168,102,0.6,0.427,0.301,0.793,45.3,23.7,16.5,11.8,5.1,6.6,102.5,95.5,0.518,106,0.636,0.433,0.311,0.787,45.8,21.3,13.2,6.7,3.3,1.4,101.3,100.3,0.527,0,11/18/2015
Orlando Magic,Minnesota Timberwolves,0021500166,104,0.455,0.429,0.341,0.789,46.4,21.9,15.9,8.3,6.1,-0.3,101.0,101.4,0.515,101,0.455,0.45,0.326,0.795,45.0,20.9,14.8,7.5,4.0,-0.2,103.7,103.4,0.535,1,11/18/2015
Houston Rockets,Portland Trail Blazers,0021500170,108,0.364,0.423,0.29,0.724,43.4,21.2,16.6,9.4,5.7,-7.7,100.5,108.3,0.519,103,0.333,0.455,0.362,0.716,45.2,20.7,15.8,5.8,4.7,-2.6,104.3,106.9,0.543,1,11/18/2015
Utah Jazz,Toronto Raptors,0021500173,93,0.5,0.43,0.36,0.742,45.8,20.0,15.1,10.1,6.9,4.0,102.2,98.2,0.513,89,0.583,0.436,0.348,0.794,47.5,19.4,16.2,9.6,4.1,4.2,106.0,102.2,0.538,1,11/18/2015
Atlanta Hawks,Sacramento Kings,0021500169,103,0.615,0.469,0.363,0.802,41.3,27.1,15.8,10.1,5.2,2.1,104.8,102.2,0.56,97,0.364,0.45,0.384,0.696,44.0,23.1,16.9,8.9,3.4,-4.0,102.6,106.2,0.53,1,11/18/2015
Charlotte Hornets,Brooklyn Nets,0021500165,116,0.455,0.442,0.352,0.757,43.8,21.4,11.7,7.5,5.6,1.3,104.1,103.0,0.534,111,0.182,0.436,0.286,0.757,46.6,22.1,15.3,8.2,5.0,-8.2,97.9,105.6,0.497,1,11/18/2015
Oklahoma City Thunder,New Orleans Pelicans,0021500171,110,0.545,0.471,0.381,0.785,48.0,22.4,17.1,7.6,7.6,5.0,109.4,104.3,0.56,103,0.091,0.44,0.351,0.77,40.2,22.0,14.6,7.6,4.9,-10.1,101.6,111.2,0.529,1,11/18/2015
LA Clippers,Golden State Warriors,0021500177,117,0.6,0.465,0.311,0.704,42.8,21.6,13.4,6.5,5.8,0.9,106.1,104.4,0.549,124,1.0,0.481,0.401,0.761,44.1,29.0,15.3,9.5,6.2,15.0,111.7,97.2,0.581,0,11/19/2015
Cleveland Cavaliers,Milwaukee Bucks,0021500176,115,0.727,0.457,0.338,0.687,48.4,24.6,15.1,6.5,4.2,6.3,106.0,100.1,0.543,100,0.455,0.443,0.373,0.795,40.6,23.8,16.4,7.5,5.2,-6.3,101.6,108.7,0.534,1,11/19/2015
Miami Heat,Sacramento Kings,0021500175,116,0.6,0.458,0.317,0.72,47.4,20.1,15.6,6.9,8.2,4.7,100.9,96.1,0.533,109,0.333,0.449,0.38,0.708,44.7,23.3,17.2,8.7,3.2,-4.2,102.1,105.9,0.529,1,11/19/2015
Golden State Warriors,Chicago Bulls,0021500187,106,1.0,0.483,0.413,0.773,44.1,29.1,15.5,9.0,6.0,14.4,112.6,98.6,0.589,94,0.727,0.435,0.381,0.749,47.5,22.3,14.4,6.4,6.3,2.3,101.0,98.5,0.522,1,11/20/2015
Los Angeles Lakers,Toronto Raptors,0021500188,91,0.182,0.416,0.326,0.789,43.5,19.1,15.6,6.8,5.8,-6.3,100.7,107.2,0.521,102,0.538,0.435,0.341,0.799,47.0,19.2,16.1,9.7,4.2,3.6,105.4,102.2,0.536,0,11/20/2015
Boston Celtics,Brooklyn Nets,0021500179,120,0.545,0.426,0.302,0.789,45.0,23.5,16.3,11.8,4.7,5.6,102.4,96.6,0.516,95,0.167,0.44,0.289,0.763,45.7,22.3,14.7,7.9,4.9,-7.9,98.9,106.3,0.502,1,11/20/2015
Portland Trail Blazers,LA Clippers,0021500186,102,0.308,0.45,0.357,0.727,45.1,20.3,16.0,6.2,4.8,-2.8,103.5,106.3,0.54,91,0.545,0.469,0.327,0.701,42.0,21.5,13.2,6.9,5.4,0.2,107.0,106.1,0.553,1,11/20/2015
Dallas Mavericks,Utah Jazz,0021500184,102,0.667,0.439,0.313,0.779,45.3,21.4,13.5,6.7,3.6,1.6,101.8,100.3,0.533,93,0.545,0.435,0.356,0.741,45.7,19.7,15.5,10.0,6.7,4.0,102.1,98.1,0.517,1,11/20/2015
Denver Nuggets,Phoenix Suns,0021500185,107,0.5,0.433,0.34,0.756,46.1,22.9,15.3,7.8,5.9,-3.5,102.7,106.5,0.519,114,0.545,0.441,0.37,0.722,47.4,18.9,16.6,9.3,3.5,4.5,104.0,99.3,0.53,0,11/20/2015
Minnesota Timberwolves,Detroit Pistons,0021500181,86,0.417,0.447,0.316,0.798,45.9,20.9,14.9,7.2,4.8,-0.4,103.2,103.1,0.533,96,0.545,0.419,0.308,0.656,48.7,17.0,15.3,8.3,3.0,-0.1,98.7,99.5,0.495,0,11/20/2015
Charlotte Hornets,Philadelphia 76ers,0021500178,113,0.5,0.445,0.358,0.756,44.2,21.9,12.0,7.3,5.8,1.6,105.0,103.5,0.54,88,0.0,0.418,0.305,0.697,43.6,19.4,19.5,7.3,6.6,-14.3,92.3,106.5,0.496,1,11/20/2015
Oklahoma City Thunder,New York Knicks,0021500183,90,0.583,0.469,0.383,0.771,48.3,22.1,16.9,7.5,7.4,5.2,109.8,104.4,0.558,93,0.5,0.419,0.325,0.828,47.9,20.9,14.2,7.2,5.4,0.7,103.5,102.5,0.509,0,11/20/2015
Memphis Grizzlies,Houston Rockets,0021500180,96,0.5,0.416,0.324,0.826,42.2,21.8,14.3,9.1,4.2,-6.7,100.6,107.7,0.512,84,0.417,0.416,0.293,0.738,43.7,21.1,16.6,9.5,5.7,-6.6,100.3,107.0,0.518,1,11/20/2015
New Orleans Pelicans,San Antonio Spurs,0021500182,104,0.083,0.441,0.341,0.779,40.2,21.9,14.3,7.6,4.8,-9.8,101.9,111.5,0.529,90,0.818,0.48,0.353,0.788,48.7,27.3,14.7,8.4,6.9,11.2,105.6,94.8,0.551,1,11/20/2015
San Antonio Spurs,Memphis Grizzlies,0021500195,92,0.75,0.473,0.366,0.79,48.4,26.9,14.2,8.1,7.0,9.1,104.7,95.9,0.546,82,0.538,0.417,0.325,0.827,42.6,22.1,14.1,9.7,4.2,-5.2,100.2,105.8,0.512,1,11/21/2015
Orlando Magic,Sacramento Kings,0021500189,91,0.5,0.424,0.347,0.775,46.9,21.7,15.3,8.4,5.9,0.0,100.9,101.1,0.507,97,0.308,0.454,0.391,0.698,44.6,23.5,17.3,8.3,3.2,-4.4,102.9,106.9,0.533,0,11/21/2015
Houston Rockets,New York Knicks,0021500194,102,0.385,0.413,0.287,0.724,44.1,20.6,17.1,9.6,5.9,-7.0,99.1,106.1,0.514,107,0.538,0.422,0.344,0.814,47.2,21.1,14.8,7.5,5.4,0.9,103.1,102.1,0.513,0,11/21/2015
Cleveland Cavaliers,Atlanta Hawks,0021500191,109,0.75,0.464,0.347,0.698,48.5,25.2,15.5,6.3,4.1,7.1,107.9,101.2,0.553,97,0.643,0.466,0.358,0.797,41.5,26.8,15.5,10.0,5.3,2.4,104.7,101.8,0.557,1,11/21/2015
Miami Heat,Philadelphia 76ers,0021500193,96,0.636,0.459,0.314,0.725,46.9,20.6,14.8,7.3,8.1,5.0,102.7,97.6,0.536,91,0.0,0.417,0.305,0.699,43.6,19.6,19.5,7.1,6.6,-15.2,92.3,107.3,0.496,1,11/21/2015
Detroit Pistons,Washington Wizards,0021500192,95,0.583,0.422,0.299,0.661,48.4,16.6,15.2,8.5,3.2,0.8,98.5,98.6,0.497,97,0.556,0.451,0.358,0.759,41.7,22.7,16.2,8.6,4.9,-2.1,103.0,105.0,0.549,0,11/21/2015
Indiana Pacers,Milwaukee Bucks,0021500190,123,0.583,0.433,0.375,0.725,44.7,21.8,16.0,9.9,4.9,2.6,101.1,98.3,0.52,86,0.417,0.449,0.373,0.796,39.5,23.9,16.2,7.6,4.9,-7.1,102.6,110.4,0.539,1,11/21/2015
Los Angeles Lakers,Portland Trail Blazers,0021500201,93,0.167,0.419,0.326,0.787,43.6,19.4,15.6,7.0,5.7,-6.7,100.6,107.6,0.522,107,0.357,0.448,0.354,0.729,46.0,20.1,15.9,6.3,4.7,-1.8,103.7,105.5,0.538,0,11/22/2015
Brooklyn Nets,Boston Celtics,0021500197,111,0.154,0.436,0.301,0.758,45.5,21.9,15.1,8.1,4.5,-9.3,98.4,107.3,0.5,101,0.583,0.439,0.306,0.789,44.6,24.8,16.2,11.6,4.7,7.2,103.7,96.3,0.527,1,11/22/2015
LA Clippers,Toronto Raptors,0021500196,80,0.5,0.466,0.324,0.692,42.2,21.8,13.2,6.8,5.4,-0.8,106.1,106.1,0.548,91,0.571,0.435,0.353,0.799,46.9,19.4,16.0,9.6,4.1,4.2,105.9,101.9,0.539,0,11/22/2015
Denver Nuggets,Golden State Warriors,0021500200,105,0.462,0.435,0.33,0.758,45.6,23.1,15.1,7.8,5.8,-3.8,103.2,107.4,0.52,118,1.0,0.484,0.409,0.771,44.6,28.6,15.6,8.9,6.0,14.3,112.5,98.7,0.59,0,11/22/2015
