H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.5,0.489,0.368,0.806,40.8,19.7,17.0,9.0,3.6,-1.8,115.2,116.5,0.596,0.5,0.444,0.333,0.828,43.3,19.2,12.8,10.8,4.9,-5.9,102.5,107.8,0.515,1,0.1,0.0,1505.6578561716176,1487.7550969967965
1.0,0.434,0.273,0.771,53.4,24.6,11.5,8.4,7.3,9.4,101.6,92.6,0.491,1.0,0.471,0.356,0.877,47.4,23.2,14.2,7.1,6.6,24.2,116.1,92.4,0.611,1,0.1,0.1,1512.4117950396,1518.2653929381972
0.0,0.397,0.338,0.713,36.7,14.2,17.0,7.7,6.2,-28.4,90.7,118.4,0.501,0.333,0.423,0.382,0.722,48.4,18.9,16.5,6.7,3.5,-6.0,95.4,102.1,0.493,1,0.0,0.1,1472.2398685235637,1496.215801383482
1.0,0.454,0.286,0.829,47.2,21.4,14.7,9.4,4.0,7.4,111.7,104.0,0.57,1.0,0.444,0.339,0.692,43.1,19.8,13.2,8.6,6.1,11.2,108.6,98.0,0.541,0,0.1,0.1,1510.9034157959982,1508.732807301957
0.5,0.473,0.344,0.677,43.8,25.1,13.3,5.9,7.4,-1.5,108.9,111.4,0.548,0.333,0.41,0.307,0.877,44.0,19.4,13.6,9.1,3.9,-7.8,101.0,108.0,0.501,1,0.1,0.0,1504.7007979260466,1479.0942316580274
0.667,0.467,0.354,0.851,41.6,21.6,13.9,10.5,2.0,4.1,109.5,105.1,0.55,0.0,0.412,0.363,0.676,43.5,20.1,17.3,5.8,4.5,-15.7,96.2,110.4,0.505,0,0.1,0.0,1502.5994951010234,1469.3228120222027
0.667,0.496,0.338,0.792,37.7,21.9,15.1,8.2,4.8,-2.7,108.9,110.1,0.59,0.5,0.415,0.303,0.797,51.5,16.3,18.8,4.5,3.5,3.0,98.5,96.5,0.538,1,0.1,0.1,1486.3277709291651,1512.2449030032035
0.0,0.408,0.376,0.778,40.5,22.3,14.4,6.5,3.8,-9.3,99.7,108.2,0.532,0.333,0.482,0.426,0.853,43.3,26.4,16.6,6.7,7.6,-1.0,111.5,113.1,0.614,0,0.0,0.1,1480.6796893273754,1502.126298426129
0.5,0.451,0.404,0.719,50.5,24.2,19.5,5.8,2.6,3.7,101.1,97.4,0.545,1.0,0.477,0.308,0.808,42.4,21.9,12.9,9.5,8.1,4.3,111.9,108.1,0.576,0,0.1,0.1,1512.2010934931443,1505.0846181745603
0.333,0.418,0.326,0.667,48.0,21.0,15.3,9.0,3.7,-0.3,100.3,102.0,0.506,0.0,0.431,0.278,0.76,41.2,20.1,20.6,7.2,3.1,-12.9,98.5,111.3,0.525,1,0.1,0.0,1512.4117950396,1492.315886724416
