Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Milwaukee Bucks,Philadelphia 76ers,0021700741,107,0.542,0.481,0.354,0.768,39.9,23.3,14.2,8.9,5.2,-0.5,108.6,109.0,0.574,95,0.522,0.466,0.364,0.762,46.4,25.2,17.6,8.0,5.0,1.4,106.1,104.5,0.564,1,01/29/2018
Atlanta Hawks,Minnesota Timberwolves,0021700739,105,0.286,0.45,0.369,0.789,41.6,24.1,15.8,8.2,4.3,-4.8,105.2,110.1,0.55,100,0.615,0.476,0.35,0.796,43.2,23.3,12.9,9.1,4.4,3.3,112.6,109.2,0.564,1,01/29/2018
Indiana Pacers,Charlotte Hornets,0021700738,105,0.54,0.48,0.374,0.77,42.8,23.0,13.6,8.2,4.2,1.1,109.2,108.3,0.564,96,0.417,0.44,0.354,0.73,46.9,20.7,13.1,6.8,4.9,0.0,106.4,106.7,0.535,1,01/29/2018
Dallas Mavericks,Miami Heat,0021700742,88,0.32,0.448,0.366,0.767,42.0,23.0,12.6,7.1,3.9,-2.0,105.6,107.4,0.549,95,0.571,0.455,0.363,0.758,44.1,22.8,15.6,7.3,5.4,-0.8,104.8,105.8,0.553,0,01/29/2018
Denver Nuggets,Boston Celtics,0021700743,110,0.531,0.46,0.359,0.75,46.1,24.1,15.9,7.9,4.8,0.7,108.3,107.7,0.557,111,0.7,0.447,0.366,0.767,45.8,22.6,14.6,7.7,4.8,4.5,106.0,101.5,0.55,0,01/29/2018
Memphis Grizzlies,Phoenix Suns,0021700740,120,0.354,0.445,0.348,0.793,42.5,22.0,15.0,7.8,5.5,-3.1,104.5,107.9,0.546,109,0.34,0.442,0.337,0.762,43.8,20.8,15.6,6.6,4.3,-7.1,103.7,110.6,0.537,1,01/29/2018
San Antonio Spurs,Denver Nuggets,0021700750,106,0.635,0.455,0.362,0.778,46.7,23.5,14.4,7.8,5.7,3.6,106.0,102.5,0.544,104,0.52,0.46,0.358,0.75,46.2,24.3,15.8,7.8,4.8,0.7,108.5,107.9,0.556,1,01/30/2018
New York Knicks,Brooklyn Nets,0021700745,111,0.44,0.472,0.37,0.796,44.9,23.7,15.6,7.0,5.5,-1.2,107.1,108.1,0.555,95,0.36,0.436,0.347,0.762,45.2,22.1,15.5,6.0,4.0,-3.5,104.3,107.6,0.543,1,01/30/2018
LA Clippers,Portland Trail Blazers,0021700752,96,0.51,0.464,0.355,0.749,43.3,22.1,15.1,8.0,4.9,0.5,108.5,107.6,0.563,104,0.551,0.455,0.379,0.797,45.7,19.6,14.6,7.0,5.3,1.5,107.3,105.9,0.55,0,01/30/2018
Houston Rockets,Orlando Magic,0021700748,114,0.729,0.459,0.363,0.787,43.8,22.2,14.6,9.0,4.5,7.7,114.0,106.7,0.592,107,0.292,0.458,0.351,0.753,42.0,23.4,14.9,7.2,4.9,-5.2,105.7,110.6,0.55,1,01/30/2018
Detroit Pistons,Cleveland Cavaliers,0021700747,125,0.458,0.448,0.377,0.752,43.8,23.2,14.3,8.0,3.8,-0.6,105.8,106.5,0.541,114,0.604,0.474,0.365,0.802,42.3,23.8,14.7,7.4,3.8,0.5,111.3,110.7,0.586,1,01/30/2018
Utah Jazz,Golden State Warriors,0021700751,129,0.429,0.45,0.365,0.796,42.6,21.7,14.9,9.5,5.0,-0.8,104.9,105.8,0.553,99,0.8,0.509,0.396,0.815,43.6,30.1,15.4,8.0,7.8,8.6,114.4,105.8,0.612,1,01/30/2018
Washington Wizards,Oklahoma City Thunder,0021700744,102,0.551,0.465,0.377,0.756,43.3,23.8,14.4,7.9,4.6,1.6,108.1,106.9,0.559,96,0.6,0.457,0.355,0.706,46.2,21.7,14.5,9.7,5.1,4.5,109.7,105.0,0.545,1,01/30/2018
