Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
LA Clippers,Golden State Warriors,0021500822,112,0.667,0.463,0.363,0.69,43.3,23.1,13.3,8.3,5.5,4.3,106.8,102.6,0.553,115,0.906,0.488,0.422,0.755,46.2,28.6,15.2,8.1,6.1,11.5,113.5,102.0,0.592,0,02/20/2016
Miami Heat,Washington Wizards,0021500820,114,0.556,0.461,0.324,0.738,46.0,21.6,15.2,6.9,6.8,-0.2,102.7,102.9,0.537,94,0.472,0.457,0.361,0.748,40.4,24.4,14.6,9.1,4.0,-2.1,104.0,106.0,0.545,1,02/20/2016
Atlanta Hawks,Milwaukee Bucks,0021500819,109,0.554,0.46,0.351,0.789,42.1,25.9,15.5,9.7,5.6,2.7,104.8,101.9,0.553,117,0.4,0.461,0.35,0.756,43.8,24.0,16.2,8.2,6.0,-4.9,102.8,107.9,0.534,0,02/20/2016
Minnesota Timberwolves,New York Knicks,0021500821,95,0.309,0.456,0.32,0.799,43.9,23.3,15.5,7.8,4.7,-3.8,104.5,108.1,0.541,103,0.411,0.438,0.337,0.81,46.2,21.4,14.3,6.2,5.9,-2.4,104.3,106.6,0.527,0,02/20/2016
Chicago Bulls,Los Angeles Lakers,0021500831,126,0.519,0.436,0.36,0.776,48.7,22.2,14.3,6.1,6.0,-0.7,102.9,103.5,0.517,115,0.196,0.413,0.318,0.777,44.3,18.8,14.5,7.4,4.6,-9.9,99.9,109.6,0.507,1,02/21/2016
Phoenix Suns,San Antonio Spurs,0021500826,111,0.255,0.439,0.363,0.758,43.5,20.9,17.2,8.3,4.0,-6.5,101.8,108.0,0.531,118,0.836,0.49,0.392,0.8,46.5,26.5,14.1,8.5,6.2,13.2,110.2,97.2,0.57,0,02/21/2016
Brooklyn Nets,Charlotte Hornets,0021500827,96,0.273,0.452,0.347,0.761,44.5,22.7,15.6,7.6,4.1,-7.3,100.7,107.7,0.523,104,0.519,0.43,0.352,0.789,45.1,21.7,13.5,7.3,5.4,1.2,104.5,103.5,0.536,0,02/21/2016
Orlando Magic,Indiana Pacers,0021500828,102,0.453,0.449,0.353,0.77,45.7,23.8,15.2,8.2,5.3,-1.3,103.1,104.3,0.528,105,0.537,0.447,0.351,0.75,44.6,20.7,15.4,9.3,4.7,2.3,103.7,101.6,0.534,0,02/21/2016
Detroit Pistons,New Orleans Pelicans,0021500823,106,0.491,0.435,0.337,0.645,47.8,19.1,14.0,7.5,3.9,0.6,104.1,103.9,0.514,111,0.389,0.448,0.356,0.775,43.5,22.3,13.3,8.1,4.9,-2.8,105.1,107.8,0.536,0,02/21/2016
Portland Trail Blazers,Utah Jazz,0021500832,115,0.509,0.449,0.358,0.726,47.4,22.1,15.2,7.2,4.4,1.2,106.4,105.4,0.54,111,0.5,0.446,0.354,0.75,46.1,19.9,16.0,8.4,5.6,1.5,105.3,103.7,0.539,1,02/21/2016
