Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Brooklyn Nets,Boston Celtics,0042000111,104,0.667,0.494,0.392,0.804,43.9,26.5,13.4,6.6,5.2,4.5,117.3,113.1,0.61,93,0.5,0.466,0.374,0.775,44.4,23.5,14.1,7.8,5.3,1.5,113.1,111.8,0.574,1,05/22/2021
LA Clippers,Dallas Mavericks,0042000171,103,0.653,0.482,0.411,0.839,45.2,25.0,13.5,7.2,4.2,6.3,116.7,110.6,0.599,113,0.583,0.47,0.362,0.778,44.2,23.3,12.3,6.4,4.4,2.3,114.6,112.3,0.582,0,05/22/2021
Milwaukee Bucks,Miami Heat,0042000121,109,0.639,0.487,0.389,0.76,46.7,24.7,13.4,7.9,4.5,5.7,116.5,110.7,0.593,107,0.556,0.468,0.358,0.79,42.5,26.9,14.4,8.1,4.1,0.0,110.6,110.7,0.581,1,05/22/2021
Denver Nuggets,Portland Trail Blazers,0042000161,109,0.653,0.485,0.377,0.803,44.9,27.1,13.6,8.2,4.5,5.0,116.3,111.5,0.588,123,0.583,0.453,0.385,0.823,44.9,21.5,11.2,6.9,5.1,1.8,117.1,115.3,0.577,0,05/22/2021
Philadelphia 76ers,Washington Wizards,0042000101,125,0.681,0.476,0.374,0.767,44.6,23.5,14.3,9.0,6.1,5.5,112.5,107.0,0.579,118,0.472,0.475,0.351,0.769,42.9,24.2,13.7,7.0,3.9,-1.7,110.7,112.3,0.569,1,05/23/2021
New York Knicks,Atlanta Hawks,0042000131,105,0.569,0.456,0.392,0.784,46.5,22.0,13.3,7.2,5.2,2.4,110.2,107.8,0.559,107,0.569,0.468,0.373,0.812,45.9,24.3,13.3,7.0,4.8,2.3,114.3,112.1,0.581,0,05/23/2021
Phoenix Suns,Los Angeles Lakers,0042000151,99,0.708,0.49,0.378,0.834,43.3,27.2,12.6,7.2,4.4,5.9,116.3,110.4,0.597,90,0.583,0.472,0.354,0.739,44.3,24.7,15.2,7.8,5.4,2.8,109.8,106.8,0.569,1,05/23/2021
Utah Jazz,Memphis Grizzlies,0042000141,109,0.722,0.468,0.389,0.799,48.3,23.7,14.2,6.6,5.2,9.3,116.5,107.5,0.597,112,0.528,0.467,0.356,0.771,45.8,26.5,13.1,9.0,5.0,1.0,111.7,110.5,0.56,0,05/23/2021
Milwaukee Bucks,Miami Heat,0042000122,132,0.639,0.487,0.389,0.76,46.7,24.7,13.4,7.9,4.5,5.7,116.5,110.7,0.593,98,0.556,0.468,0.358,0.79,42.5,26.9,14.4,8.1,4.1,0.0,110.6,110.7,0.581,1,05/24/2021
Denver Nuggets,Portland Trail Blazers,0042000162,128,0.653,0.485,0.377,0.803,44.9,27.1,13.6,8.2,4.5,5.0,116.3,111.5,0.588,109,0.583,0.453,0.385,0.823,44.9,21.5,11.2,6.9,5.1,1.8,117.1,115.3,0.577,1,05/24/2021
Phoenix Suns,Los Angeles Lakers,0042000152,102,0.708,0.49,0.378,0.834,43.3,27.2,12.6,7.2,4.4,5.9,116.3,110.4,0.597,109,0.583,0.472,0.354,0.739,44.3,24.7,15.2,7.8,5.4,2.8,109.8,106.8,0.569,0,05/25/2021
Brooklyn Nets,Boston Celtics,0042000112,130,0.667,0.494,0.392,0.804,43.9,26.5,13.4,6.6,5.2,4.5,117.3,113.1,0.61,108,0.5,0.466,0.374,0.775,44.4,23.5,14.1,7.8,5.3,1.5,113.1,111.8,0.574,1,05/25/2021
LA Clippers,Dallas Mavericks,0042000172,121,0.653,0.482,0.411,0.839,45.2,25.0,13.5,7.2,4.2,6.3,116.7,110.6,0.599,127,0.583,0.47,0.362,0.778,44.2,23.3,12.3,6.4,4.4,2.3,114.6,112.3,0.582,0,05/25/2021
Philadelphia 76ers,Washington Wizards,0042000102,120,0.681,0.476,0.374,0.767,44.6,23.5,14.3,9.0,6.1,5.5,112.5,107.0,0.579,95,0.472,0.475,0.351,0.769,42.9,24.2,13.7,7.0,3.9,-1.7,110.7,112.3,0.569,1,05/26/2021
New York Knicks,Atlanta Hawks,0042000132,101,0.569,0.456,0.392,0.784,46.5,22.0,13.3,7.2,5.2,2.4,110.2,107.8,0.559,92,0.569,0.468,0.373,0.812,45.9,24.3,13.3,7.0,4.8,2.3,114.3,112.1,0.581,1,05/26/2021
