Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Golden State Warriors,Houston Rockets,0041500141,104,0.89,0.487,0.416,0.763,45.6,28.6,15.0,8.3,6.0,10.6,113.5,102.8,0.593,78,0.5,0.452,0.347,0.694,43.4,22.4,16.1,10.1,5.3,0.2,107.3,107.3,0.553,1,04/16/2016
Atlanta Hawks,Boston Celtics,0041500131,102,0.585,0.458,0.35,0.783,42.8,26.1,15.2,9.3,6.0,3.7,104.6,100.8,0.552,101,0.585,0.439,0.335,0.788,45.0,24.2,13.8,9.2,4.2,3.2,105.8,102.5,0.531,1,04/16/2016
Toronto Raptors,Indiana Pacers,0041500111,90,0.683,0.451,0.37,0.777,46.2,19.9,13.9,8.3,5.8,4.8,109.3,104.8,0.552,100,0.549,0.45,0.351,0.764,44.9,21.6,15.1,9.2,4.8,1.7,103.8,102.2,0.536,0,04/16/2016
Oklahoma City Thunder,Dallas Mavericks,0041500161,108,0.671,0.476,0.349,0.782,49.5,23.4,16.2,7.5,6.0,7.4,112.1,104.8,0.565,70,0.512,0.444,0.344,0.794,44.4,22.8,13.2,7.0,3.8,-0.3,105.5,105.9,0.544,1,04/16/2016
Cleveland Cavaliers,LA Clippers,0041500101,106,0.695,0.46,0.362,0.748,47.0,24.0,14.3,7.1,4.1,6.3,110.2,103.9,0.558,115,0.646,0.465,0.364,0.692,43.1,23.4,13.3,8.9,5.8,4.4,107.2,102.7,0.556,1,04/17/2016
Miami Heat,Portland Trail Blazers,0041500121,123,0.585,0.47,0.336,0.744,46.5,22.0,14.8,7.1,6.8,1.7,105.5,103.7,0.545,95,0.537,0.45,0.37,0.754,46.6,21.8,15.0,7.0,4.7,0.8,107.6,106.8,0.548,1,04/17/2016
San Antonio Spurs,Memphis Grizzlies,0041500151,106,0.817,0.484,0.375,0.803,46.4,25.9,13.8,8.7,6.2,11.2,109.3,98.2,0.564,74,0.512,0.44,0.331,0.783,44.0,21.9,14.0,9.3,4.5,-2.4,104.7,107.1,0.524,1,04/17/2016
Charlotte Hornets,Detroit Pistons,0041500121,91,0.585,0.439,0.362,0.79,45.2,22.3,12.9,7.5,5.5,2.8,106.4,103.7,0.545,101,0.537,0.439,0.345,0.668,47.8,20.1,14.0,7.2,3.8,0.6,105.3,104.9,0.522,0,04/17/2016
Golden State Warriors,Houston Rockets,0041500142,115,0.89,0.487,0.416,0.763,45.6,28.6,15.0,8.3,6.0,10.6,113.5,102.8,0.593,106,0.5,0.452,0.347,0.694,43.4,22.4,16.1,10.1,5.3,0.2,107.3,107.3,0.553,1,04/18/2016
Toronto Raptors,Indiana Pacers,0041500112,98,0.683,0.451,0.37,0.777,46.2,19.9,13.9,8.3,5.8,4.8,109.3,104.8,0.552,87,0.549,0.45,0.351,0.764,44.9,21.6,15.1,9.2,4.8,1.7,103.8,102.2,0.536,1,04/18/2016
Oklahoma City Thunder,Dallas Mavericks,0041500162,84,0.671,0.476,0.349,0.782,49.5,23.4,16.2,7.5,6.0,7.4,112.1,104.8,0.565,85,0.512,0.444,0.344,0.794,44.4,22.8,13.2,7.0,3.8,-0.3,105.5,105.9,0.544,0,04/18/2016
San Antonio Spurs,Memphis Grizzlies,0041500152,94,0.817,0.484,0.375,0.803,46.4,25.9,13.8,8.7,6.2,11.2,109.3,98.2,0.564,68,0.512,0.44,0.331,0.783,44.0,21.9,14.0,9.3,4.5,-2.4,104.7,107.1,0.524,1,04/19/2016
Atlanta Hawks,Boston Celtics,0041500132,89,0.585,0.458,0.35,0.783,42.8,26.1,15.2,9.3,6.0,3.7,104.6,100.8,0.552,72,0.585,0.439,0.335,0.788,45.0,24.2,13.8,9.2,4.2,3.2,105.8,102.5,0.531,1,04/19/2016
Cleveland Cavaliers,LA Clippers,0041500102,107,0.695,0.46,0.362,0.748,47.0,24.0,14.3,7.1,4.1,6.3,110.2,103.9,0.558,102,0.646,0.465,0.364,0.692,43.1,23.4,13.3,8.9,5.8,4.4,107.2,102.7,0.556,1,04/20/2016
Miami Heat,Portland Trail Blazers,0041500122,115,0.585,0.47,0.336,0.744,46.5,22.0,14.8,7.1,6.8,1.7,105.5,103.7,0.545,81,0.537,0.45,0.37,0.754,46.6,21.8,15.0,7.0,4.7,0.8,107.6,106.8,0.548,1,04/20/2016
Charlotte Hornets,Detroit Pistons,0041500122,103,0.585,0.439,0.362,0.79,45.2,22.3,12.9,7.5,5.5,2.8,106.4,103.7,0.545,90,0.537,0.439,0.345,0.668,47.8,20.1,14.0,7.2,3.8,0.6,105.3,104.9,0.522,0,04/20/2016
Houston Rockets,Golden State Warriors,0041500143,97,0.5,0.452,0.347,0.694,43.4,22.4,16.1,10.1,5.3,0.2,107.3,107.3,0.553,96,0.89,0.487,0.416,0.763,45.6,28.6,15.0,8.3,6.0,10.6,113.5,102.8,0.593,1,04/21/2016
Indiana Pacers,Toronto Raptors,0041500113,85,0.549,0.45,0.351,0.764,44.9,21.6,15.1,9.2,4.8,1.7,103.8,102.2,0.536,101,0.683,0.451,0.37,0.777,46.2,19.9,13.9,8.3,5.8,4.8,109.3,104.8,0.552,0,04/21/2016
