Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Golden State Warriors,Portland Trail Blazers,0021600534,125,0.857,0.498,0.382,0.794,44.6,30.7,14.8,9.1,6.0,12.4,115.3,103.2,0.601,117,0.417,0.457,0.36,0.783,42.3,21.9,13.9,7.2,4.8,-3.6,108.5,112.2,0.558,1,01/04/2017
New York Knicks,Milwaukee Bucks,0021600531,104,0.471,0.442,0.356,0.788,46.9,21.7,14.3,7.4,5.9,-3.1,106.6,110.1,0.531,105,0.515,0.474,0.361,0.757,44.8,25.6,14.2,8.2,5.6,2.6,108.6,105.9,0.56,0,01/04/2017
LA Clippers,Memphis Grizzlies,0021600533,115,0.622,0.464,0.377,0.76,44.5,22.4,13.6,8.0,4.8,5.2,110.4,105.3,0.566,106,0.595,0.423,0.345,0.786,46.0,21.4,13.8,9.0,5.3,0.5,104.4,103.7,0.522,1,01/04/2017
Orlando Magic,Atlanta Hawks,0021600530,92,0.444,0.44,0.339,0.712,44.8,23.4,13.2,6.9,5.9,-4.2,104.2,108.2,0.522,111,0.529,0.454,0.331,0.716,44.6,24.4,16.2,8.7,5.2,-1.7,104.1,105.7,0.538,0,01/04/2017
Cleveland Cavaliers,Chicago Bulls,0021600532,94,0.788,0.458,0.393,0.76,45.8,23.1,13.9,7.5,4.2,7.5,113.6,106.3,0.572,106,0.486,0.435,0.307,0.804,50.0,22.0,14.2,8.1,5.6,0.1,106.0,106.0,0.519,0,01/04/2017
Sacramento Kings,Miami Heat,0021600535,102,0.441,0.449,0.353,0.777,42.8,22.6,14.4,8.3,4.2,-2.3,106.8,109.7,0.545,107,0.278,0.439,0.344,0.664,46.7,22.1,13.9,7.2,5.9,-3.8,103.0,106.9,0.515,0,01/04/2017
Charlotte Hornets,Oklahoma City Thunder,0021600529,123,0.543,0.443,0.353,0.775,46.6,24.2,12.3,6.8,5.2,2.1,107.9,105.9,0.542,112,0.6,0.459,0.329,0.726,45.8,21.9,15.3,7.8,5.1,1.7,107.6,105.8,0.545,1,01/04/2017
Houston Rockets,Oklahoma City Thunder,0021600540,118,0.75,0.469,0.378,0.757,45.1,25.8,15.9,8.1,4.8,7.9,114.9,107.0,0.588,116,0.583,0.458,0.328,0.728,46.0,21.9,15.3,7.7,5.0,1.3,107.7,106.2,0.544,1,01/05/2017
Detroit Pistons,Charlotte Hornets,0021600538,115,0.432,0.451,0.341,0.742,46.4,22.4,12.7,7.4,3.9,-0.1,104.9,105.1,0.526,114,0.556,0.443,0.354,0.777,46.5,24.2,12.3,6.8,5.4,2.4,108.3,106.0,0.544,1,01/05/2017
Portland Trail Blazers,Los Angeles Lakers,0021600542,118,0.405,0.457,0.362,0.786,42.3,21.9,14.0,7.2,4.8,-3.7,108.6,112.5,0.559,109,0.342,0.447,0.358,0.77,44.4,21.0,15.8,8.2,3.6,-5.7,106.0,111.5,0.541,1,01/05/2017
Indiana Pacers,Brooklyn Nets,0021600536,121,0.5,0.457,0.362,0.817,42.5,22.5,14.1,8.4,5.6,-1.1,105.6,106.5,0.55,109,0.242,0.439,0.334,0.78,42.9,20.3,16.8,7.4,4.4,-8.3,102.8,111.0,0.548,1,01/05/2017
Dallas Mavericks,Phoenix Suns,0021600541,95,0.314,0.43,0.349,0.799,41.6,21.1,13.3,8.5,3.9,-5.5,103.1,108.5,0.531,102,0.306,0.442,0.342,0.762,44.2,18.0,15.8,8.6,4.4,-6.3,103.6,109.5,0.531,0,01/05/2017
Denver Nuggets,San Antonio Spurs,0021600543,99,0.4,0.452,0.359,0.754,47.4,23.3,15.8,6.6,4.0,-2.2,108.7,111.1,0.549,127,0.8,0.476,0.411,0.821,45.6,25.1,14.3,8.6,6.1,8.1,111.3,103.2,0.574,0,01/05/2017
Toronto Raptors,Utah Jazz,0021600537,101,0.676,0.47,0.389,0.81,44.2,20.1,12.5,9.5,5.0,7.1,114.5,107.4,0.572,93,0.611,0.466,0.368,0.759,46.2,20.8,14.9,6.8,5.6,4.4,108.2,103.5,0.567,1,01/05/2017
