Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Chicago Bulls,Dallas Mavericks,0021500597,77,0.605,0.435,0.369,0.782,49.4,22.3,15.1,6.3,6.5,1.4,103.2,101.8,0.523,83,0.55,0.442,0.339,0.782,44.8,22.5,13.8,7.3,3.7,0.2,104.0,103.7,0.54,0,01/15/2016
Brooklyn Nets,Portland Trail Blazers,0021500596,104,0.282,0.445,0.318,0.762,45.5,22.0,15.7,8.0,4.1,-7.1,99.0,105.7,0.511,116,0.415,0.442,0.36,0.727,47.8,21.7,15.8,6.7,4.2,-1.4,104.9,106.4,0.534,0,01/15/2016
Boston Celtics,Phoenix Suns,0021500595,117,0.513,0.432,0.32,0.776,44.9,23.7,14.7,9.4,4.5,3.1,103.0,99.6,0.521,103,0.325,0.447,0.376,0.747,43.1,20.8,16.8,8.9,3.9,-4.0,103.3,106.9,0.537,1,01/15/2016
Houston Rockets,Cleveland Cavaliers,0021500601,77,0.525,0.445,0.352,0.716,43.2,21.5,17.0,10.1,5.0,-0.9,105.5,106.5,0.551,91,0.73,0.451,0.361,0.732,47.6,23.4,14.8,7.3,3.9,6.5,107.5,101.1,0.547,0,01/15/2016
Milwaukee Bucks,Atlanta Hawks,0021500599,108,0.39,0.459,0.355,0.752,42.7,24.6,15.7,8.3,5.6,-6.0,102.7,109.0,0.532,101,0.59,0.46,0.343,0.793,41.6,26.0,15.2,9.8,5.7,1.7,105.6,103.7,0.553,1,01/15/2016
Indiana Pacers,Washington Wizards,0021500593,104,0.564,0.444,0.355,0.754,44.6,20.5,15.6,9.5,4.4,3.7,103.4,100.0,0.534,118,0.486,0.451,0.368,0.758,40.6,24.1,15.2,9.1,3.8,-2.4,102.9,105.2,0.541,0,01/15/2016
Denver Nuggets,Miami Heat,0021500600,95,0.385,0.43,0.338,0.755,46.9,23.2,15.4,7.3,5.0,-4.5,102.9,107.7,0.518,98,0.564,0.461,0.332,0.735,46.4,21.5,14.9,6.8,7.2,1.6,103.5,101.8,0.541,0,01/15/2016
Oklahoma City Thunder,Minnesota Timberwolves,0021500594,113,0.7,0.475,0.365,0.788,48.3,22.1,16.1,7.9,6.7,8.1,111.0,103.0,0.565,93,0.3,0.447,0.331,0.791,43.6,22.6,15.8,8.0,4.6,-4.1,102.0,105.9,0.53,1,01/15/2016
New Orleans Pelicans,Charlotte Hornets,0021500598,109,0.316,0.44,0.349,0.79,43.7,21.8,14.1,7.6,5.0,-4.3,103.1,107.2,0.533,107,0.474,0.431,0.345,0.784,45.0,21.8,13.3,7.4,5.9,1.2,104.0,103.0,0.535,1,01/15/2016
Philadelphia 76ers,Portland Trail Blazers,0021500606,114,0.098,0.428,0.324,0.679,42.5,20.4,18.6,8.3,6.6,-12.1,95.3,107.3,0.509,89,0.429,0.443,0.362,0.726,47.8,21.8,15.6,6.7,4.3,-1.1,105.4,106.5,0.536,1,01/16/2016
