Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Philadelphia 76ers,Boston Celtics,0021501039,105,0.13,0.436,0.334,0.69,41.5,21.2,17.3,8.6,6.3,-10.6,98.0,108.6,0.521,120,0.565,0.439,0.333,0.79,44.8,24.3,13.8,9.4,4.2,3.4,105.7,102.2,0.53,0,03/20/2016
New York Knicks,Sacramento Kings,0021501042,80,0.4,0.439,0.342,0.809,46.3,21.5,14.0,6.0,5.9,-3.0,104.1,106.9,0.528,88,0.382,0.464,0.357,0.728,43.7,24.4,16.1,8.7,4.3,-2.8,105.2,107.9,0.547,0,03/20/2016
Milwaukee Bucks,Utah Jazz,0021501041,85,0.435,0.464,0.349,0.75,43.7,24.0,15.8,8.5,6.0,-3.7,103.6,107.3,0.537,94,0.478,0.447,0.356,0.75,46.3,20.1,16.1,8.3,5.6,1.3,105.0,103.8,0.538,0,03/20/2016
Dallas Mavericks,Portland Trail Blazers,0021501037,132,0.493,0.444,0.341,0.795,44.1,22.9,13.1,7.0,3.7,-0.6,105.2,105.9,0.544,120,0.514,0.449,0.368,0.747,46.9,21.8,14.9,6.7,4.5,0.6,107.3,106.8,0.546,1,03/20/2016
Toronto Raptors,Orlando Magic,0021501038,105,0.691,0.452,0.369,0.786,45.8,19.6,14.1,8.4,5.6,5.0,109.3,104.6,0.554,100,0.426,0.449,0.349,0.765,44.8,23.8,14.8,8.4,5.1,-2.2,103.2,105.3,0.529,1,03/20/2016
New Orleans Pelicans,LA Clippers,0021501040,109,0.368,0.447,0.355,0.78,43.3,22.3,13.3,7.9,4.7,-3.3,105.0,108.2,0.536,105,0.632,0.463,0.364,0.694,43.0,23.2,13.3,8.5,5.7,3.7,107.0,103.2,0.555,1,03/20/2016
Chicago Bulls,Sacramento Kings,0021501049,109,0.515,0.44,0.368,0.787,48.0,23.0,14.4,6.0,5.8,-1.2,103.3,104.5,0.523,102,0.391,0.463,0.355,0.729,43.8,24.3,16.1,8.8,4.3,-2.7,105.1,107.6,0.546,1,03/21/2016
Phoenix Suns,Memphis Grizzlies,0021501051,97,0.275,0.434,0.351,0.752,44.4,20.6,16.9,7.8,3.8,-7.5,101.2,108.5,0.526,103,0.571,0.441,0.33,0.788,43.9,22.0,14.0,9.2,4.7,-1.5,104.5,106.1,0.527,0,03/21/2016
Boston Celtics,Orlando Magic,0021501046,107,0.571,0.44,0.334,0.791,45.0,24.4,13.8,9.4,4.2,3.6,105.9,102.2,0.531,96,0.42,0.449,0.35,0.764,44.7,23.7,14.8,8.3,5.1,-2.3,103.2,105.4,0.529,1,03/21/2016
Cleveland Cavaliers,Denver Nuggets,0021501044,124,0.71,0.459,0.358,0.742,47.1,23.5,14.3,7.2,3.9,6.1,109.7,103.7,0.554,91,0.414,0.443,0.339,0.768,45.9,23.1,15.1,7.7,4.7,-2.3,105.2,107.6,0.532,1,03/21/2016
