Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Philadelphia 76ers,Sacramento Kings,0022000641,129,0.683,0.479,0.368,0.784,45.2,23.2,15.0,8.6,6.2,4.9,112.1,107.3,0.58,105,0.415,0.48,0.36,0.729,42.3,25.7,13.4,6.6,4.7,-4.6,113.5,118.1,0.576,1,03/20/2021
Los Angeles Lakers,Atlanta Hawks,0022000640,94,0.683,0.486,0.354,0.749,45.2,24.8,15.0,7.2,5.9,6.1,112.0,106.0,0.58,99,0.512,0.458,0.365,0.821,46.1,24.4,14.4,6.9,5.0,2.1,113.5,111.8,0.577,0,03/20/2021
LA Clippers,Charlotte Hornets,0022000644,125,0.619,0.482,0.415,0.839,44.8,24.6,13.3,7.4,4.5,5.0,116.2,111.5,0.6,98,0.5,0.464,0.384,0.775,43.4,26.8,15.4,8.2,4.6,-0.8,111.0,111.7,0.575,1,03/20/2021
Milwaukee Bucks,San Antonio Spurs,0022000643,120,0.65,0.485,0.386,0.749,47.3,25.4,13.6,8.0,4.7,6.8,116.5,109.3,0.591,113,0.579,0.457,0.361,0.786,44.3,24.6,11.3,7.1,5.1,0.1,109.8,109.5,0.552,1,03/20/2021
Memphis Grizzlies,Golden State Warriors,0022000642,111,0.474,0.463,0.349,0.784,44.6,26.3,13.6,9.7,4.2,0.1,109.6,109.4,0.553,103,0.524,0.464,0.367,0.774,41.5,26.8,14.4,7.9,4.7,0.0,108.9,108.9,0.575,1,03/20/2021
New York Knicks,Philadelphia 76ers,0022000650,100,0.5,0.453,0.372,0.771,47.7,21.8,14.0,7.0,4.8,0.0,108.6,108.6,0.55,101,0.69,0.481,0.37,0.783,45.4,23.2,14.9,8.6,6.1,5.4,112.5,107.3,0.582,0,03/21/2021
Phoenix Suns,Los Angeles Lakers,0022000651,111,0.675,0.49,0.387,0.829,43.5,27.4,13.5,6.6,4.3,6.4,114.9,108.6,0.598,94,0.667,0.484,0.353,0.749,45.4,24.7,15.0,7.2,5.9,5.8,111.7,105.9,0.579,1,03/21/2021
Brooklyn Nets,Washington Wizards,0022000647,113,0.667,0.5,0.4,0.799,43.1,26.3,14.0,6.4,5.2,4.8,117.9,113.3,0.618,106,0.375,0.463,0.344,0.767,41.5,23.6,13.5,7.1,3.3,-4.7,109.4,113.9,0.565,1,03/21/2021
Boston Celtics,Orlando Magic,0022000167,112,0.488,0.468,0.371,0.756,44.3,22.8,14.2,8.1,5.2,0.5,112.8,112.3,0.569,96,0.341,0.432,0.358,0.788,46.8,22.8,13.6,6.7,4.1,-6.6,105.2,111.8,0.534,1,03/21/2021
Houston Rockets,Oklahoma City Thunder,0022000016,112,0.275,0.433,0.325,0.741,41.7,21.7,14.3,7.8,5.4,-6.9,105.0,111.3,0.541,114,0.415,0.448,0.346,0.744,43.8,22.6,14.6,6.8,4.3,-6.0,104.8,111.1,0.552,0,03/21/2021
