Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
San Antonio Spurs,Golden State Warriors,0021600980,107,0.781,0.472,0.393,0.805,45.8,24.8,13.8,8.5,6.1,8.3,110.9,102.7,0.568,85,0.8,0.494,0.379,0.793,43.8,30.0,14.5,9.5,6.5,11.3,114.9,103.8,0.598,1,03/11/2017
LA Clippers,Philadelphia 76ers,0021600974,112,0.6,0.469,0.376,0.739,44.3,23.0,13.5,7.9,4.5,3.0,110.5,107.5,0.567,100,0.359,0.44,0.346,0.763,42.9,23.5,16.8,8.3,5.3,-6.1,102.2,108.1,0.538,1,03/11/2017
Orlando Magic,Cleveland Cavaliers,0021600977,104,0.364,0.441,0.325,0.727,44.3,22.6,13.8,7.1,5.2,-6.5,103.3,109.6,0.523,116,0.667,0.467,0.389,0.75,44.6,23.0,14.1,7.0,4.1,4.2,113.1,109.1,0.579,0,03/11/2017
Miami Heat,Toronto Raptors,0021600979,104,0.477,0.453,0.366,0.699,45.8,22.3,13.9,7.4,5.8,0.5,106.6,106.2,0.538,89,0.585,0.463,0.365,0.8,44.5,19.1,12.8,8.8,5.1,3.9,111.9,108.0,0.562,1,03/11/2017
Detroit Pistons,New York Knicks,0021600975,112,0.492,0.455,0.334,0.725,46.7,22.1,12.4,7.5,4.0,-0.1,106.2,106.5,0.528,92,0.4,0.447,0.358,0.784,46.7,22.0,14.3,7.3,5.9,-3.1,107.5,110.7,0.536,1,03/11/2017
Portland Trail Blazers,Washington Wizards,0021600983,124,0.444,0.459,0.368,0.781,43.7,22.0,14.1,7.0,5.1,-2.1,109.1,111.2,0.559,125,0.625,0.475,0.376,0.789,43.5,24.2,14.4,8.8,4.2,2.6,110.1,107.6,0.564,0,03/11/2017
Milwaukee Bucks,Minnesota Timberwolves,0021600978,102,0.484,0.477,0.37,0.767,42.4,25.5,14.6,8.7,5.6,0.7,109.2,108.5,0.567,95,0.422,0.465,0.349,0.79,45.1,24.5,14.9,8.2,4.7,0.0,109.2,109.0,0.553,1,03/11/2017
Dallas Mavericks,Phoenix Suns,0021600982,98,0.438,0.444,0.36,0.806,41.3,21.8,12.8,8.3,3.9,-1.5,105.4,106.7,0.546,100,0.323,0.453,0.343,0.787,44.1,19.1,15.6,8.1,4.7,-5.0,106.6,111.3,0.544,0,03/11/2017
Sacramento Kings,Denver Nuggets,0021600984,92,0.385,0.457,0.37,0.781,42.4,23.3,15.1,8.3,4.1,-3.3,106.7,110.2,0.555,105,0.462,0.466,0.371,0.762,46.7,25.0,15.5,7.0,4.0,-0.4,111.5,112.1,0.563,0,03/11/2017
Charlotte Hornets,New Orleans Pelicans,0021600976,122,0.446,0.44,0.357,0.814,45.9,23.7,12.3,6.9,5.1,1.0,107.8,107.1,0.546,125,0.385,0.443,0.35,0.749,44.1,22.3,13.4,7.8,5.6,-3.3,103.0,106.2,0.533,0,03/11/2017
Memphis Grizzlies,Atlanta Hawks,0021600981,90,0.554,0.435,0.353,0.783,45.5,22.1,13.6,8.7,4.6,0.7,106.9,106.2,0.535,107,0.554,0.456,0.342,0.723,44.7,23.9,15.7,8.5,5.0,-0.7,105.2,105.7,0.544,0,03/11/2017
Oklahoma City Thunder,Utah Jazz,0021600973,112,0.554,0.45,0.324,0.747,46.8,20.9,15.2,7.8,5.1,0.0,107.6,107.4,0.539,104,0.631,0.464,0.364,0.756,46.6,21.2,14.9,7.4,5.2,4.7,108.4,103.7,0.563,1,03/11/2017
Los Angeles Lakers,Philadelphia 76ers,0021600990,116,0.308,0.445,0.351,0.759,44.2,20.9,15.4,8.1,4.0,-6.7,105.1,111.7,0.536,118,0.354,0.441,0.346,0.763,42.9,23.6,16.8,8.4,5.3,-6.2,102.2,108.2,0.538,0,03/12/2017
Phoenix Suns,Portland Trail Blazers,0021600988,101,0.333,0.453,0.342,0.789,44.0,19.0,15.6,8.1,4.8,-4.9,106.5,111.1,0.544,110,0.438,0.46,0.37,0.78,43.6,22.1,14.1,6.9,5.1,-2.1,109.2,111.3,0.559,0,03/12/2017
Brooklyn Nets,New York Knicks,0021600986,120,0.172,0.445,0.341,0.787,42.5,20.8,16.6,7.0,4.6,-8.4,103.3,111.5,0.552,112,0.394,0.447,0.359,0.783,46.7,22.1,14.4,7.3,5.9,-3.3,107.3,110.7,0.536,1,03/12/2017
