Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
San Antonio Spurs,Memphis Grizzlies,0041600151,111,0.744,0.469,0.391,0.797,45.9,24.9,14.1,8.4,6.2,7.5,110.3,102.9,0.564,82,0.524,0.435,0.354,0.784,45.5,22.6,13.7,8.5,4.5,0.5,107.0,106.5,0.535,1,04/15/2017
LA Clippers,Utah Jazz,0041600171,95,0.622,0.475,0.375,0.745,44.3,23.2,13.3,7.7,4.4,4.4,111.8,107.5,0.574,97,0.622,0.466,0.372,0.747,46.8,21.8,14.8,7.3,5.4,4.3,109.0,104.7,0.563,0,04/15/2017
Cleveland Cavaliers,Indiana Pacers,0041600111,109,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,108,0.512,0.465,0.376,0.81,43.1,23.1,14.1,8.4,5.1,-0.2,107.9,108.1,0.558,1,04/15/2017
Toronto Raptors,Milwaukee Bucks,0041600121,83,0.622,0.464,0.363,0.796,45.1,19.3,13.2,8.6,5.1,4.4,111.4,107.1,0.561,97,0.512,0.474,0.37,0.768,42.3,25.3,14.6,8.5,5.6,-0.2,108.5,108.7,0.565,0,04/15/2017
Golden State Warriors,Portland Trail Blazers,0041600141,121,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,109,0.5,0.459,0.375,0.78,44.3,21.4,13.9,7.1,5.0,-0.5,109.4,110.0,0.559,1,04/16/2017
Boston Celtics,Chicago Bulls,0041600101,102,0.646,0.454,0.359,0.807,43.0,25.8,13.6,7.7,4.2,2.7,110.6,108.0,0.567,106,0.5,0.444,0.34,0.798,47.9,23.4,14.0,8.1,5.0,0.4,106.5,106.2,0.53,0,04/16/2017
Houston Rockets,Oklahoma City Thunder,0041600161,118,0.671,0.462,0.357,0.766,43.9,25.0,15.0,8.1,4.2,5.7,114.1,108.4,0.583,87,0.573,0.452,0.327,0.745,47.2,21.2,15.2,8.0,5.0,0.8,107.9,107.1,0.54,1,04/16/2017
Washington Wizards,Atlanta Hawks,0041600131,114,0.598,0.475,0.372,0.784,43.3,24.1,14.3,8.5,4.1,1.8,110.4,108.8,0.564,107,0.524,0.451,0.341,0.728,44.9,24.0,16.0,8.3,4.9,-0.9,104.5,105.2,0.541,1,04/16/2017
San Antonio Spurs,Memphis Grizzlies,0041600152,96,0.744,0.469,0.391,0.797,45.9,24.9,14.1,8.4,6.2,7.5,110.3,102.9,0.564,82,0.524,0.435,0.354,0.784,45.5,22.6,13.7,8.5,4.5,0.5,107.0,106.5,0.535,1,04/17/2017
Cleveland Cavaliers,Indiana Pacers,0041600112,117,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,111,0.512,0.465,0.376,0.81,43.1,23.1,14.1,8.4,5.1,-0.2,107.9,108.1,0.558,1,04/17/2017
Boston Celtics,Chicago Bulls,0041600102,97,0.646,0.454,0.359,0.807,43.0,25.8,13.6,7.7,4.2,2.7,110.6,108.0,0.567,111,0.5,0.444,0.34,0.798,47.9,23.4,14.0,8.1,5.0,0.4,106.5,106.2,0.53,0,04/18/2017
LA Clippers,Utah Jazz,0041600172,99,0.622,0.475,0.375,0.745,44.3,23.2,13.3,7.7,4.4,4.4,111.8,107.5,0.574,91,0.622,0.466,0.372,0.747,46.8,21.8,14.8,7.3,5.4,4.3,109.0,104.7,0.563,1,04/18/2017
Toronto Raptors,Milwaukee Bucks,0041600122,106,0.622,0.464,0.363,0.796,45.1,19.3,13.2,8.6,5.1,4.4,111.4,107.1,0.561,100,0.512,0.474,0.37,0.768,42.3,25.3,14.6,8.5,5.6,-0.2,108.5,108.7,0.565,1,04/18/2017
Golden State Warriors,Portland Trail Blazers,0041600142,110,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,81,0.5,0.459,0.375,0.78,44.3,21.4,13.9,7.1,5.0,-0.5,109.4,110.0,0.559,1,04/19/2017
Houston Rockets,Oklahoma City Thunder,0041600162,115,0.671,0.462,0.357,0.766,43.9,25.0,15.0,8.1,4.2,5.7,114.1,108.4,0.583,111,0.573,0.452,0.327,0.745,47.2,21.2,15.2,8.0,5.0,0.8,107.9,107.1,0.54,1,04/19/2017
Washington Wizards,Atlanta Hawks,0041600132,109,0.598,0.475,0.372,0.784,43.3,24.1,14.3,8.5,4.1,1.8,110.4,108.8,0.564,101,0.524,0.451,0.341,0.728,44.9,24.0,16.0,8.3,4.9,-0.9,104.5,105.2,0.541,1,04/19/2017
Milwaukee Bucks,Toronto Raptors,0041600123,104,0.512,0.474,0.37,0.768,42.3,25.3,14.6,8.5,5.6,-0.2,108.5,108.7,0.565,77,0.622,0.464,0.363,0.796,45.1,19.3,13.2,8.6,5.1,4.4,111.4,107.1,0.561,1,04/20/2017
Indiana Pacers,Cleveland Cavaliers,0041600113,114,0.512,0.465,0.376,0.81,43.1,23.1,14.1,8.4,5.1,-0.2,107.9,108.1,0.558,119,0.622,0.47,0.384,0.748,44.7,23.2,14.0,6.7,4.1,3.3,112.8,109.7,0.58,0,04/20/2017
Memphis Grizzlies,San Antonio Spurs,0041600153,105,0.524,0.435,0.354,0.784,45.5,22.6,13.7,8.5,4.5,0.5,107.0,106.5,0.535,94,0.744,0.469,0.391,0.797,45.9,24.9,14.1,8.4,6.2,7.5,110.3,102.9,0.564,1,04/20/2017
Chicago Bulls,Boston Celtics,0041600103,87,0.5,0.444,0.34,0.798,47.9,23.4,14.0,8.1,5.0,0.4,106.5,106.2,0.53,104,0.646,0.454,0.359,0.807,43.0,25.8,13.6,7.7,4.2,2.7,110.6,108.0,0.567,0,04/21/2017
Utah Jazz,LA Clippers,0041600173,106,0.622,0.466,0.372,0.747,46.8,21.8,14.8,7.3,5.4,4.3,109.0,104.7,0.563,111,0.622,0.475,0.375,0.745,44.3,23.2,13.3,7.7,4.4,4.4,111.8,107.5,0.574,0,04/21/2017
Oklahoma City Thunder,Houston Rockets,0041600163,115,0.573,0.452,0.327,0.745,47.2,21.2,15.2,8.0,5.0,0.8,107.9,107.1,0.54,113,0.671,0.462,0.357,0.766,43.9,25.0,15.0,8.1,4.2,5.7,114.1,108.4,0.583,1,04/21/2017
Atlanta Hawks,Golden State Warriors,0041600133,116,0.524,0.451,0.341,0.728,44.9,24.0,16.0,8.3,4.9,-0.9,104.5,105.2,0.541,119,0.817,0.495,0.383,0.788,44.0,30.1,14.6,9.5,6.7,11.5,114.8,103.4,0.597,1,04/22/2017
