Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
LA Clippers,Sacramento Kings,0021500038,114,1.0,0.479,0.28,0.641,46.8,20.2,11.3,6.9,8.4,11.3,105.9,93.7,0.551,109,0.5,0.477,0.37,0.688,49.3,23.5,15.0,6.6,4.7,5.2,110.8,105.6,0.546,1,10/31/2015
Portland Trail Blazers,Phoenix Suns,0021500037,90,0.5,0.448,0.375,0.818,45.1,18.9,17.0,7.8,4.4,0.0,99.0,98.6,0.541,101,0.5,0.418,0.238,0.707,51.4,15.2,18.1,7.6,4.8,1.0,97.6,97.1,0.505,0,10/31/2015
Indiana Pacers,Utah Jazz,0021500033,76,0.0,0.421,0.396,0.782,39.2,23.1,16.6,10.6,3.5,-8.0,101.5,109.0,0.537,97,0.5,0.436,0.36,0.761,48.9,18.7,11.0,7.7,7.7,12.6,102.2,89.1,0.508,0,10/31/2015
Washington Wizards,New York Knicks,0021500034,110,1.0,0.447,0.388,0.739,43.2,21.1,19.6,7.5,7.0,3.0,103.5,100.0,0.565,117,0.5,0.43,0.288,0.857,48.5,22.5,16.0,10.5,5.5,7.0,111.5,104.0,0.529,0,10/31/2015
Memphis Grizzlies,Brooklyn Nets,0021500036,101,0.5,0.427,0.281,0.765,42.5,21.2,15.5,10.4,4.1,-10.9,97.4,108.3,0.504,91,0.0,0.412,0.2,0.698,39.5,18.5,14.4,8.7,5.6,-21.5,89.7,110.2,0.463,1,10/31/2015
New Orleans Pelicans,Golden State Warriors,0021500035,120,0.0,0.408,0.333,0.667,35.6,19.8,14.9,7.9,2.5,-16.8,93.6,109.3,0.488,134,1.0,0.444,0.321,0.787,50.5,27.0,13.7,8.3,5.4,17.6,109.3,92.1,0.532,0,10/31/2015
Los Angeles Lakers,Dallas Mavericks,0021500045,93,0.0,0.425,0.294,0.855,40.5,18.1,15.7,4.3,6.2,-9.0,107.1,117.9,0.545,103,0.5,0.412,0.314,0.717,50.2,22.4,10.2,5.4,2.4,0.0,97.1,97.5,0.492,0,11/01/2015
Chicago Bulls,Orlando Magic,0021500043,92,0.667,0.454,0.406,0.754,44.3,16.6,17.3,7.5,6.8,4.2,99.7,95.4,0.548,87,0.0,0.408,0.288,0.76,46.9,20.1,15.2,8.5,7.1,-1.8,99.6,101.3,0.489,1,11/01/2015
Boston Celtics,San Antonio Spurs,0021500040,87,0.5,0.418,0.3,0.853,37.6,25.7,16.2,11.4,4.8,3.3,102.4,98.1,0.538,95,0.5,0.475,0.378,0.923,46.5,22.7,15.7,9.1,6.6,10.6,105.1,94.9,0.546,0,11/01/2015
Miami Heat,Houston Rockets,0021500041,109,0.5,0.46,0.439,0.93,42.2,23.5,13.9,5.3,7.5,0.0,104.8,105.4,0.58,89,0.0,0.355,0.224,0.71,46.5,18.0,17.0,8.0,8.5,-20.0,88.5,108.5,0.451,1,11/01/2015
Charlotte Hornets,Atlanta Hawks,0021500039,92,0.0,0.401,0.333,0.762,50.3,20.2,15.0,5.7,3.6,-6.7,97.4,104.1,0.493,94,0.667,0.464,0.351,0.746,41.8,23.9,15.5,9.8,4.0,0.7,102.0,100.3,0.549,0,11/01/2015
Toronto Raptors,Milwaukee Bucks,0021500042,106,1.0,0.444,0.409,0.77,48.4,19.7,20.2,8.9,2.3,8.0,102.8,95.3,0.563,87,0.0,0.429,0.381,0.847,39.5,25.0,17.0,8.0,3.0,-15.0,105.0,121.2,0.541,1,11/01/2015
Oklahoma City Thunder,Denver Nuggets,0021500044,117,1.0,0.469,0.326,0.867,47.1,17.6,17.6,6.6,5.7,4.0,110.6,106.6,0.564,93,0.5,0.397,0.346,0.711,50.5,20.7,18.2,8.1,7.1,1.5,92.4,91.8,0.48,1,11/01/2015
Philadelphia 76ers,Cleveland Cavaliers,0021500046,100,0.0,0.363,0.351,0.783,43.8,13.9,22.2,7.7,5.7,-23.2,85.6,109.3,0.481,107,0.667,0.447,0.337,0.709,53.1,27.8,14.2,5.6,4.5,13.2,105.2,92.3,0.526,0,11/02/2015
Golden State Warriors,Memphis Grizzlies,0021500051,119,1.0,0.476,0.407,0.756,45.5,26.1,12.3,8.7,4.8,16.1,115.2,99.4,0.578,69,0.667,0.426,0.327,0.797,43.7,23.6,13.7,9.2,3.5,-3.9,101.8,105.3,0.518,1,11/02/2015
New York Knicks,San Antonio Spurs,0021500048,84,0.667,0.445,0.338,0.841,44.6,21.5,16.6,9.4,5.2,6.8,110.7,103.9,0.547,94,0.667,0.462,0.339,0.824,47.5,22.3,16.9,9.3,6.3,9.6,100.7,91.9,0.533,0,11/02/2015
Brooklyn Nets,Milwaukee Bucks,0021500047,96,0.0,0.434,0.211,0.689,41.8,19.9,13.9,7.0,4.9,-18.1,92.7,110.4,0.482,103,0.0,0.426,0.344,0.892,38.5,24.4,17.9,7.6,4.8,-16.8,102.1,119.7,0.543,0,11/02/2015
LA Clippers,Phoenix Suns,0021500052,102,1.0,0.49,0.269,0.664,44.0,21.4,12.9,5.8,8.4,9.1,106.5,97.4,0.565,96,0.667,0.417,0.284,0.714,50.5,15.5,16.5,8.7,5.2,4.2,99.0,94.8,0.503,1,11/02/2015
Houston Rockets,Oklahoma City Thunder,0021500049,110,0.0,0.371,0.245,0.738,42.8,18.9,17.5,8.4,6.7,-20.2,89.6,110.1,0.47,105,1.0,0.486,0.394,0.846,48.9,22.4,18.4,7.5,7.2,10.3,114.6,104.0,0.582,1,11/02/2015
Minnesota Timberwolves,Portland Trail Blazers,0021500050,101,1.0,0.442,0.226,0.821,45.1,21.5,13.3,5.1,5.1,9.2,106.2,95.5,0.55,106,0.333,0.439,0.337,0.705,45.1,19.3,16.7,7.5,4.6,-3.6,96.1,99.7,0.525,0,11/02/2015
Los Angeles Lakers,Denver Nuggets,0021500059,109,0.0,0.405,0.294,0.822,41.4,18.2,14.7,5.5,7.2,-9.4,103.6,113.8,0.524,120,0.333,0.391,0.346,0.719,46.1,20.8,16.7,8.2,5.8,-7.2,94.2,102.4,0.474,0,11/03/2015
Miami Heat,Atlanta Hawks,0021500055,92,0.667,0.47,0.429,0.875,44.9,24.0,14.5,7.4,6.7,7.1,107.8,100.7,0.577,98,0.75,0.452,0.32,0.779,43.9,23.7,14.5,9.7,4.6,1.0,101.3,99.2,0.537,0,11/03/2015
Detroit Pistons,Indiana Pacers,0021500054,82,1.0,0.387,0.329,0.67,54.3,19.0,14.0,5.3,3.0,7.0,98.7,92.9,0.473,94,0.0,0.415,0.357,0.776,38.4,19.2,19.5,9.9,4.8,-12.7,95.2,107.1,0.52,0,11/03/2015
