Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Miami Heat,New Orleans Pelicans,0022000005,111,0.0,0.506,0.35,0.842,40.6,23.6,20.8,10.4,1.9,-5.7,100.9,105.6,0.586,98,1.0,0.525,0.452,0.5,43.3,28.8,26.0,12.5,6.7,13.5,108.7,94.3,0.636,1,12/25/2020
Milwaukee Bucks,Golden State Warriors,0022000006,138,0.0,0.511,0.4,0.833,51.5,18.8,15.8,4.0,5.9,-1.0,119.8,122.0,0.618,99,0.0,0.374,0.303,0.652,42.0,23.2,16.1,5.4,5.4,-23.2,88.4,111.6,0.454,1,12/25/2020
Boston Celtics,Brooklyn Nets,0022000007,95,1.0,0.475,0.45,0.727,37.0,23.0,7.0,8.0,6.0,1.0,122.0,119.8,0.576,123,1.0,0.457,0.429,0.813,50.9,21.4,17.9,9.8,6.3,23.2,111.6,88.4,0.589,0,12/25/2020
Los Angeles Lakers,Dallas Mavericks,0022000008,138,0.0,0.469,0.31,0.774,43.3,21.2,18.3,3.8,1.9,-6.7,104.8,111.5,0.576,115,0.0,0.424,0.243,0.808,37.9,16.5,11.7,5.8,0.0,-3.9,99.0,102.9,0.529,1,12/25/2020
Denver Nuggets,LA Clippers,0022000009,108,0.0,0.48,0.276,0.833,41.1,25.0,13.4,5.4,9.8,-1.8,108.9,111.7,0.562,121,1.0,0.473,0.35,0.737,38.5,21.2,15.4,9.6,2.9,6.7,111.5,104.8,0.572,0,12/25/2020
